adress,area,floor,price,rooms,floors_total,year,latitude,longitude
"Россия, Самара, Черемшанская улица, 226",60.0,9/9,2690000,3,9,1973,53.24395,50.259788
"Россия, Самара, Партизанская улица, 74",44.0,3/5,2500000,2,5.0,1967.0,53.195236,50.165914
"Россия, Самарская область, Волжский район, посёлок городского типа Смышляевка, Демократическая улица",47.0,2/3,3000000,1,3.0,2014.0,53.250459,50.388292
"Россия, Самара, Чернореченская улица, 32",41.3,7/12,1790000,1,9,1978,53.198041,50.141282
"Россия, Самара, Ташкентская улица, 196",108.8,10/16,5500000,3,16.0,2000.0,53.259331,50.239944
"Россия, Самара, Московское шоссе, 260",54.0,9/9,4100000,2,9.0,1986.0,53.247107,50.214612
"Россия, Самара, улица Гагарина, 135",43.7,2/5,2600000,2,5.0,1960.0,53.200927,50.210192
"Россия, Самара, 7-я просека, 100, подъезд 1",34.5,5/18,3100000,1,21,2014,53.25549,50.198631
"Россия, Самара, улица Грибоедова, 8",64.0,2/2,1690000,3,2.0,1960.0,53.250604,50.355081
"Россия, Самара, посёлок Сухая Самарка, Белорусская улица, 40",35.8,9/10,1850000,1,10.0,1997.0,53.146251,50.059796
"Россия, Самара, улица Виталия Талабаева, 4",39.7,1/16,1667400,1,,,53.146947,50.078113
"Россия, Самара, улица Мира, 85",36.4,2/3,1405000,1,3,2016,53.308547,50.316238
"Россия, Самара, Партизанская улица, 175",55.6,5/5,2700000,3,5.0,1965.0,53.18676,50.199511
"Россия, Самара, посёлок Соцгород, Бакинская улица, 28А",61.0,5/5,2350000,3,5.0,1982.0,53.120318,50.080233
"Россия, Самарская область, Волжский район, село Рождествено, улица Пушкина",59.0,6/16,5500000,1,16.0,2012.0,53.244295,50.058709
"Россия, Самара, Ново-Вокзальная улица, 275",70.8,3/10,3790000,3,10,1989,53.25048,50.202475
"Россия, Самара, улица Мичурина, 15А",45.0,9/16,4000000,1,16.0,1999.0,53.201493,50.138354
"Россия, Самара, улица Георгия Димитрова, 18",22.0,5/9,1550000,1,9.0,1975.0,53.250539,50.238318
"Россия, Самара, проспект Кирова, 237",43.0,4/5,2550000,2,5.0,1967.0,53.235629,50.242828
"Россия, Самара, Московское шоссе, 123",21.5,7/9,1750000,1,9,1977,53.237655,50.208665
"Россия, Самара, посёлок Сухая Самарка, Белорусская улица, 24",42.0,9/10,2500000,1,10.0,2010.0,53.147493,50.061539
"Россия, Самара, Московское шоссе, 306",34.0,8/12,2247000,1,12.0,1980.0,53.259164,50.234096
"Россия, Самара, улица Георгия Ратнера, 5",46.0,3/5,2050000,2,5.0,1962.0,53.208154,50.226344
"Россия, Самара, проспект Ленина, 7",54.0,2/12,3550000,2,12.0,1984.0,53.211137,50.143672
"Россия, Самара, Ново-Вокзальная улица, 209",32.7,9/12,2295000,1,12,1976,53.240786,50.215034
"Россия, Самара, улица Врубеля, 15",90.0,24/24,12000000,2,24.0,2015.0,53.218993,50.167711
"Россия, Самара, Владимирская улица, 22",22.0,7/9,1900000,1,9.0,1978.0,53.199595,50.133287
"Россия, Самара, Краснодонская улица, 49",80.5,1/2,4195000,3,2,1941,53.224309,50.253158
"Россия, Самара, Красноглинский район, посёлок Управленческий, Крайняя улица, 14",52.0,2/5,2500000,3,8.0,1974.0,53.34114,50.221205
"Россия, Самара, Алма-Атинская улица, 146",59.8,3/9,3050000,3,9.0,1975.0,53.254968,50.263237
"Россия, Самара, Красноглинский район, микрорайон Крутые Ключи, бульвар Ивана Финютина, 27",36.1,3/3,1550000,1,3.0,2011.0,53.319511,50.30977
"Россия, Самара, улица 22 Партсъезда, 16",33.0,5/5,1850000,1,5.0,1963.0,53.207901,50.232731
"Россия, Самара, Нагорная улица, 145",83.7,5/10,5600000,2,10,2006,53.232972,50.251919
"Россия, Самара, улица Свободы, 230",13.0,1/5,889000,1,,,53.236653,50.282614
"Россия, Самара, Некрасовская улица, 43",119.0,2/5,8850000,3,,1.0,53.188881,50.095684
"Россия, Самара, проспект Кирова, 327",31.0,1/9,1700000,1,9,1982,53.250825,50.230126
"Россия, Самарская область, Волжский район, село Рождествено, улица Пушкина",58.0,13/14,5088000,2,14.0,2011.0,53.244295,50.058709
"Россия, Самара, Алма-Атинская улица, 28",30.0,5/5,1420000,1,5.0,1962.0,53.239132,50.281788
"Россия, Самара, Владимирская улица, 43А",56.5,4/13,3400000,2,,,53.188379,50.142791
"Россия, Самарская область, Волжский район, село Рождествено, улица Фрунзе",52.5,2/5,4499000,2,5.0,1931.0,53.246261,50.062689
"Россия, Самарская область, Красноярский район, посёлок городского типа Волжский, микрорайон Жилгородок, 45",43.4,2/10,1545000,1,10,2015,53.435576,50.122076
"Россия, Самара, улица Ивана Булкина, 83",59.0,5/5,2450000,3,5.0,1965.0,53.213224,50.194283
"Россия, Самара, Ново-Садовая улица, 201Б",32.5,11/24,2022000,0,,,53.22157,50.169202
"Россия, Самара, Вольская улица, 81",42.0,9/10,2800000,1,,1,53.219317,50.244238
"Россия, Самара, Чернореченская улица, 8к8",49.0,2/3,3500000,2,3.0,1954.0,53.193995,50.130206
