adress,area,floor,price,rooms,floors_total,year,latitude,longitude,district
"Россия, Самара, Ново-Садовая улица, 25", 32.0, 8/9, 3000000, 1, 9,,53.210549,50.137231, Октябрьский
"Россия, Самара, проспект Карла Маркса, 350", 30.5, 5/5, 1650000, 1, 5,,53.23689,50.235462, Промышленный
"Россия, Самара, Ставропольская улица, 61", 33.0, 1/2, 1500000, 1, 2,,53.220746,50.230521, Промышленный
"Россия, Самара, улица Красных Коммунаров, 38", 33.0, 3/5, 1700000, 1, 5,,53.210851,50.254129, Промышленный
"Россия, Самара, 5-я просека, 100к2", 33.6, 5/11, 2199000, 1, 11,,53.243966,50.185345, Октябрьский
"Россия, Самара, посёлок Сухая Самарка, Белорусская улица, 34А", 38.0, 7/10, 1786000, 1, 10,,53.147088,50.05879, Куйбышевский
"Россия, Самара, Брусчатый переулок, 23", 40.0, 4/9, 2550000, 1, 9,,53.200781,50.217639, Советский
"Россия, Самара, Гвардейская улица, 21", 29.0, 9/9, 1550000, 1, 9,,53.238582,50.282713, Кировский
"Россия, Самара, улица Стара Загора, 57", 30.0, 1/9, 1750000, 1, 9,,53.229258,50.210524, Промышленный
"Россия, Самара, проспект Карла Маркса", 39.33, 15/24, 2635110, 1, 24,,53.224503,50.213156, Железнодорожный
"Россия, Самара, 6-я просека, 144", 48.6, 8/16, 3199000, 1, 16,,53.248029,50.193169, Промышленный
"Россия, Самара, проспект Карла Маркса", 28.0, 1/4, 1400000, 1, 4,,53.224503,50.213156, Кировский
"Россия, Самара, улица Советской Армии, 17", 35.0, 1/9, 2200000, 1, 9,,53.196013,50.216768, Советский
"Россия, Самара, Нагорная улица, 6", 50.61, 8/16, 2454580, 1, 16,,53.22012,50.220532, Кировский
"Россия, Самара, Волжское шоссе, 121", 40.4, 10/16, 2300000, 1, 16,,53.277082,50.264109, Кировский
"Россия, Самарская область, Волжский район, жилой район Южный Город - 2, улица Дмитрия Донского, 7", 37.0, 5/9, 1700000, 1, 9,,53.094132,50.160578, Волжский район
"Россия, Самара, посёлок Сухая Самарка, Белорусская улица, 135", 45.08, 10/10, 2350000, 1, 10,,53.142049,50.040294, Куйбышевский
"Россия, Самара, улица Гая, 39", 34.0, 1/5, 2200000, 1, 5,,53.212889,50.168097, Октябрьский
"Россия, Самара, улица Калинина, 34", 42.0, 10/18, 2790000, 1, 18,,53.222239,50.244723, Промышленный
"Россия, Самара, Московское шоссе, 51", 48.0, 6/17, 2800000, 1, 17,,53.223711,50.192244, Октябрьский
"Россия, Самара, Гаражная улица, 7", 39.7, 5/25, 2200000, 1, 25,,53.207977,50.179371, Октябрьский
"Россия, Самара, Солнечная улица, 16", 41.0, 11/24, 2300000, 1, 24,,53.241455,50.187015, Октябрьский
"Россия, Самарская область, Тольятти, улица Карла Маркса, 2", 33.99, 7/16, 1765000, 1, 16,,53.523636,49.397854, Промышленный
"Россия, Самара, улица Свободы, 157А", 42.0, 10/10, 2570000, 1, 10,,53.227204,50.27426, Кировский
"Россия, Самара, проспект Карла Маркса, 200", 41.5, 23/24, 2650000, 1, 24,,53.217764,50.193241, Октябрьский
"Россия, Самара, Черемшанская улица, 156", 41.0, 6/9, 2500000, 1, 9,,53.236125,50.248649, Кировский
"Россия, Самара, Черемшанская улица, 238", 32.0, 5/5, 1860000, 1, 5,,53.244984,50.2626, Кировский
"Россия, Самара, Олимпийская улица, 21", 33.0, 2/5, 1540000, 1, 5,,53.230875,50.284914, Кировский
"Россия, Самара, улица Железной Дивизии, 9", 33.0, 5/9, 1600000, 1, 9,,53.210366,50.279901, Промышленный
"Россия, Самара, Казачья улица, 2", 52.0, 10/10, 2550000, 1, 10,,53.156814,50.089979, Куйбышевский
"Россия, Самара, посёлок Сухая Самарка, Белорусская улица, 133", 50.0, 8/10, 2300000, 1, 10,,53.14193,50.041201, Куйбышевский
"Россия, Самара, Пугачёвская улица, 61", 30.0, 2/9, 1630000, 1, 9,,53.232266,50.271008, Кировский
"Россия, Самара, Калужская улица, 11", 54.49, 1/24, 2870000, 1, 24,,53.216502,50.170963, Октябрьский
"Россия, Самара, проспект Карла Маркса", 34.0, 10/16, 1700000, 1, 16,,53.224503,50.213156, Промышленный
"Россия, Самара, Красноглинский район, посёлок Управленческий, улица 8 Марта", 43.09, 1/4, 1723600, 1, 4,,53.348451,50.208728, Красноглинский
"Россия, Самара, улица Советской Армии", 38.7, 16/25, 1838000, 1, 25,,53.223209,50.200598, Советский
"Россия, Самара, улица Тухачевского, 227", 32.4, 1/5, 1800000, 1, 5,,53.197335,50.159132, Железнодорожный
"Россия, Самара, улица Советской Армии", 44.6, 5/16, 2850000, 1, 16,,53.223209,50.200598, Октябрьский
"Россия, Самара, проспект Ленина, 1", 35.0, 3/10, 2700000, 1, 10,,53.205167,50.133539, Октябрьский
"Россия, Самара, Осетинская улица, 2", 46.0, 12/16, 2790000, 1, 16,,53.155626,50.076064, Куйбышевский
"Россия, Самара, улица Георгия Димитрова, 20", 30.0, 7/9, 2300000, 1, 9,,53.25103,50.237564, Кировский
"Россия, Самара, 7-я просека, 94", 35.2, 12/19, 2680000, 1, 19,,53.254849,50.199969, Промышленный
"Россия, Самара, Киевская улица", 42.1, 11/17, 2700000, 1, 17,,53.200183,50.152879, Железнодорожный
"Россия, Самара, улица Водников, 46", 37.0, 5/5, 2700000, 1, 5,,53.183312,50.078355, Самарский
"Россия, Самара, Осетинская улица, 10", 43.0, 8/16, 3050000, 1, 16,,53.150091,50.075382, Куйбышевский
"Россия, Самара, улица Тухачевского, 30", 39.0, 8/9, 2500000, 1, 9,,53.1888,50.146591, Железнодорожный
"Россия, Самара, проспект Кирова, 322Ак4", 41.0, 26/27, 2900000, 1, 27,,53.254101,50.215375, Промышленный
"Россия, Самара, Краснодонская улица, 10", 43.0, 17/27, 2479500, 1, 27,,53.215769,50.261701, Промышленный
"Россия, Самара, Молодогвардейская улица, 69", 31.9, 3/3, 2100000, 1, 3,,53.18901,50.098028, Самарский
"Россия, Самара, улица Водников, 2", 33.0, 1/3, 1650000, 1, 3,,53.178077,50.074897, Самарский
"Россия, Самара, Каховская улица, 73", 41.0, 3/5, 2500000, 1, 5,,53.230331,50.252664, Кировский
"Россия, Самара, 5-я просека, 131", 41.25, 10/18, 3170000, 1, 18,,53.242042,50.180925, Октябрьский
"Россия, Самара, улица Промышленности, 297", 33.1, 3/9, 1670000, 1, 9,,53.197987,50.223649, Советский
"Россия, Самара, улица Тухачевского, 80", 43.0, 2/16, 2300000, 1, 16,,53.195295,50.152053, Железнодорожный
"Россия, Самара, Физкультурная улица, 123", 30.3, 4/5, 1600000, 1, 5,,53.219333,50.26975, Промышленный
"Россия, Самара, улица Александра Матросова, 14", 38.0, 4/5, 1850000, 1, 5,,53.211859,50.241534, Промышленный
"Россия, Самара, Рыльская улица, 3", 31.0, 3/5, 1720000, 1, 5,,53.199357,50.249996, Промышленный
"Россия, Самара, 5-я просека, 103", 51.0, 9/9, 2950000, 1, 9,,53.244462,50.186809, Октябрьский
"Россия, Самарская область, Тольятти, жилой комплекс Проспект Московский", 37.0, 2/9, 2950000, 1, 9,,53.512382,49.254726, Октябрьский
"Россия, Самара, улица Победы, 123", 31.4, 5/5, 1780000, 1, 5,,53.221808,50.268834, Кировский
"Россия, Самара, 5-я просека", 40.68, 3/15, 2100000, 1, 15,,53.247053,50.182191, Октябрьский
"Россия, Самара, Аэродромная улица, 102", 49.05, 6/16, 2109150, 1, 16,,53.194767,50.208162, Советский
"Россия, Самара, 6-я просека, 135", 36.0, 4/16, 2550000, 1, 16,,53.247344,50.19007, Промышленный
"Россия, Самара, Севастопольская улица, 39", 30.0, 3/5, 1620000, 1, 5,,53.225538,50.261872, Кировский
"Россия, Самара, Московское шоссе", 47.0, 2/26, 2585000, 1, 26,,53.253034,50.225715, Ленинский
"Россия, Самара, улица Челюскинцев, 14", 21.6, 8/9, 1900000, 1, 9,,53.209352,50.143788, Октябрьский
"Россия, Самара, улица Стара Загора, 21", 33.0, 15/17, 2290000, 1, 17,,53.222433,50.193609, Октябрьский
"Россия, Самара, Куйбышевский район, посёлок Совхоз Волгарь, Раздольная улица, 5", 33.0, 5/6, 1750000, 1, 6,,53.15029,50.082487, Волжский район
"Россия, Самара, Волжский проспект, 15А", 32.0, 1/5, 2700000, 1, 5,,53.203392,50.105556, Ленинский
"Россия, Самара, 2-й Безымянный переулок, 5", 30.0, 2/5, 1850000, 1, 5,,53.208003,50.231752, Советский
"Россия, Самара, улица Виталия Талабаева, 6", 49.7, 10/16, 2280000, 1, 16,,53.147374,50.078957, Куйбышевский
"Россия, Самара, 5-я просека, 107", 50.0, 8/10, 3099000, 1, 10,,53.244968,50.186935, Октябрьский
"Россия, Самара, улица Стара Загора, 91", 32.0, 8/9, 2350000, 1, 9,,53.231829,50.21445, Промышленный
"Россия, Самара, проспект Карла Маркса, 304", 36.1, 6/14, 2500000, 1, 14,,53.23205,50.22532, Промышленный
"Россия, Самара, проспект Ленина, 9", 33.0, 7/12, 2400000, 1, 12,,53.211255,50.144408, Октябрьский
"Россия, Самара, Красноглинский район, посёлок Управленческий, улица Сергея Лазо, 38", 30.0, 5/5, 1400000, 1, 5,,53.347097,50.225221, Красноглинский
"Россия, Самара, улица Георгия Димитрова, 117", 36.8, 8/9, 2700000, 1, 9,,53.264233,50.221457, Промышленный
"Россия, Самара, Калужская улица, 11", 54.49, 1/24, 2810000, 1, 24,,53.216502,50.170963, Октябрьский
"Россия, Самара, посёлок Мехзавод, 1-й квартал, 53", 36.0, 4/10, 2100000, 1, 10,,53.307331,50.286109, Красноглинский
"Россия, Самара, Гаражная улица, 7", 39.7, 5/24, 2280000, 1, 24,,53.207977,50.179371, Октябрьский
"Россия, Самара, Красноглинский район, микрорайон Крутые Ключи, улица Евгения Золотухина", 34.0, 2/3, 1570000, 1, 3,,53.316972,50.310363, Красноглинский
"Россия, Самара, улица Советской Армии, 98", 40.0, 6/12, 2480000, 1, 12,,53.207372,50.212932, Советский
"Россия, Самара, Московское шоссе", 43.0, 12/16, 2630000, 1, 16,,53.253034,50.225715, Октябрьский
"Россия, Самарская область, Волжский район, жилой район Южный Город - 1, Николаевский проспект, 39", 35.0, 6/9, 1750000, 1, 9,,53.110536,50.141633, Волжский район
"Россия, Самара, Невская улица, 5", 33.0, 5/9, 2750000, 1, 9,,53.209772,50.126756, Октябрьский
"Россия, Самара, улица Стара Загора, 102А", 33.4, 9/9, 2160000, 1, 9,,53.238356,50.224251, Промышленный
"Россия, Самарская область, Волжский район, жилой район Южный Город - 2, Губернаторская улица", 37.0, 2/9, 1617430, 1, 9,,53.093516,50.166192, Волжский район
"Россия, Самара, улица Мира, 21", 38.0, 1/3, 1650000, 1, 3,,53.312948,50.30633, Красноглинский
"Россия, Самарская область, Тольятти, улица Карла Маркса, 2", 33.99, 13/16, 1765000, 1, 16,,53.523636,49.397854, Промышленный
"Россия, Самара, Юбилейная улица, 53", 47.0, 11/16, 2900000, 1, 16,,53.228713,50.261351, Кировский
"Россия, Самара, Дачная улица, 20", 44.0, 16/20, 2400000, 1, 20,,53.194572,50.15067, Промышленный
"Россия, Самара, улица 22 Партсъезда, 184", 31.0, 6/9, 3030000, 1, 9,,53.237477,50.190204, Промышленный
"Россия, Самара, Вольская улица, 81", 42.0, 9/10, 2800000, 1, 10,,53.219317,50.244238, Промышленный
"Россия, Самара, Волжское шоссе, 123", 43.0, 4/16, 1800000, 1, 16,,53.276441,50.26419, Кировский
"Россия, Самара, улица Мечникова, 3", 53.83, 5/22, 2600000, 1, 22,,53.187445,50.133799, Железнодорожный
"Россия, Самара, 5-я просека, 133", 36.0, 5/18, 2800000, 1, 18,,53.242241,50.17955, Октябрьский
"Россия, Самара, Ташкентская улица, 162", 35.0, 4/9, 1530000, 1, 9,,53.256148,50.24069, Кировский
"Россия, Самара, проспект Кирова, 419", 33.0, 8/9, 2500000, 1, 9,,53.259407,50.217953, Промышленный
"Россия, Самара, улица 22 Партсъезда, 2А", 34.0, 2/2, 1550000, 1, 2,,53.191665,50.251182, Советский
"Россия, Самара, улица Карбышева, 81", 46.0, 11/17, 3200000, 1, 17,,53.21118,50.204874, Советский
"Россия, Самара, Смышляевское шоссе", 39.9, 5/9, 1728000, 1, 9,,53.239385,50.345029, Волжский район
"Россия, Самара, улица Александра Матросова, 14", 35.0, 4/5, 1800000, 1, 5,,53.211859,50.241534, Промышленный
"Россия, Самара, Чернореченская улица, 53", 37.0, 4/9, 2600000, 1, 9,,53.196471,50.14245, Ленинский
"Россия, Самара, улица Стара Загора, 21", 30.0, 6/18, 2270000, 1, 18,,53.222433,50.193609, Октябрьский
"Россия, Самара, Невская улица, 8", 34.0, 1/5, 2380000, 1, 5,,53.208872,50.129272, Октябрьский
"Россия, Самара, улица Советской Армии, 170", 33.47, 6/10, 1506150, 1, 10,,53.218168,50.200921, Советский
"Россия, Самара, улица Гагарина, 63А", 27.0, 9/9, 1840000, 1, 9,,53.19898,50.184967, Железнодорожный
"Россия, Самара, Заводское шоссе, 57В", 32.0, 15/16, 2150000, 1, 16,,53.208014,50.280719, Промышленный
"Россия, Самара, улица Георгия Димитрова, 51", 31.3, 5/5, 1790000, 1, 5,,53.254488,50.235246, Кировский
"Россия, Самара, Краснодонская улица, 10", 42.0, 20/27, 2413380, 1, 27,,53.215769,50.261701, Промышленный
"Россия, Самара, проспект Карла Маркса, 290", 31.0, 4/5, 1670000, 1, 5,,53.230902,50.220289, Промышленный
"Россия, Самара, улица Металлистов, 55", 46.0, 6/10, 2780000, 1, 10,,53.229522,50.263741, Кировский
"Россия, Самара, 5-я просека, 123", 36.0, 9/12, 2720000, 1, 12,,53.242802,50.181131, Октябрьский
"Россия, Самара, посёлок Мехзавод, 1-й квартал, 53", 39.0, 9/10, 2190000, 1, 10,,53.307331,50.286109, Красноглинский
"Россия, Самара, улица Тухачевского, 40А", 51.0, 20/24, 2300000, 1, 24,,53.189706,50.148199, Железнодорожный
"Россия, Самара, проспект Ленина, 16", 34.0, 8/9, 2600000, 1, 9,,53.211121,50.140833, Октябрьский
"Россия, Самара, улица Тухачевского, 241", 32.7, 3/5, 1900000, 1, 5,,53.198683,50.162375, Железнодорожный
"Россия, Самара, улица Калинина, 34", 42.0, 10/16, 2850000, 1, 16,,53.222239,50.244723, Промышленный
"Россия, Самара, 5-я просека, 110Д", 40.4, 12/25, 3250000, 1, 25,,53.243303,50.186548, Промышленный
"Россия, Самара, улица Металлистов, 30", 37.3, 2/5, 2150000, 1, 5,,53.225344,50.268187, Кировский
"Россия, Самара, улица Строителей, 33", 45.14, 6/16, 2144150, 1, 16,,53.236491,50.276101, Кировский
"Россия, Самара, Ново-Советская улица, 8", 34.0, 9/10, 1900000, 1, 10,,53.180641,50.128319, Кировский
"Россия, Самара, посёлок Сухая Самарка, Белорусская улица, 133", 50.0, 10/10, 2580000, 1, 10,,53.14193,50.041201, Куйбышевский
"Россия, Самара, Ново-Садовая улица, 252", 38.2, 14/16, 2970000, 1, 16,,53.257554,50.208512, Промышленный
"Россия, Самара, проспект Карла Маркса, 4Б", 38.5, 17/24, 3000000, 1, 24,,53.192107,50.134069, Железнодорожный
"Россия, Самара, посёлок Соцгород, улица Игоря Егорова, 17", 36.0, 5/5, 1700000, 1, 5,,53.109357,50.085461, Куйбышевский
"Россия, Самара, улица Гая", 43.3, 9/18, 2579000, 1, 18,,53.211611,50.164656, Октябрьский
"Россия, Самара, Галактионовская улица, 104", 31.0, 1/4, 2650000, 1, 4,,53.199142,50.106742, Ленинский
"Россия, Самара, 5-я просека", 45.17, 18/18, 2700000, 1, 18,,53.247053,50.182191, Октябрьский
"Россия, Самара, Гвардейская улица, 21", 21.0, 4/9, 1300000, 1, 9,,53.238582,50.282713, Кировский
"Россия, Самара, улица Максима Горького, 35", 35.0, 3/5, 2750000, 1, 5,,53.181941,50.075831, Самарский
"Россия, Самара, 5-я просека, 133", 34.4, 16/18, 1890000, 1, 18,,53.242241,50.17955, Октябрьский
"Россия, Самара, 6-я просека, 146", 43.45, 4/7, 2160000, 1, 7,,53.246762,50.192217, Промышленный
"Россия, Самара, улица Советской Армии, 237", 38.0, 2/5, 2350000, 1, 5,,53.23357,50.187761, Октябрьский
"Россия, Самара, Дачная улица, 20", 43.37, 9/21, 2500000, 1, 21,,53.194572,50.15067, Железнодорожный
"Россия, Самара, проспект Кирова, 172", 30.0, 1/5, 1640000, 1, 5,,53.238852,50.235201, Промышленный
"Россия, Самара, улица Советской Армии, 93А", 36.05, 6/25, 1658300, 1, 25,,53.205976,50.214127, Советский
"Россия, Самара, Осетинская улица, 13А", 40.0, 5/10, 2550000, 1, 10,,53.15008,50.072884, Куйбышевский
"Россия, Самара, Демократическая улица, 16", 43.0, 8/9, 2430000, 1, 9,,53.264351,50.214109, Промышленный
"Россия, Самара, проспект Карла Маркса", 45.7, 24/24, 2742000, 1, 24,,53.224503,50.213156, Октябрьский
"Россия, Самара, проспект Металлургов, 93", 33.0, 3/5, 1700000, 1, 5,,53.239078,50.280243, Кировский
"Россия, Самара, 5-я просека", 40.68, 6/15, 2200000, 1, 15,,53.247053,50.182191, Октябрьский
"Россия, Самара, Аэродромная улица, 102", 46.9, 11/16, 2110500, 1, 16,,53.194767,50.208162, Советский
"Россия, Самара, Революционная улица, 10", 45.98, 14/26, 2528900, 1, 26,,53.215316,50.165923, Октябрьский
"Россия, Самара, Красноглинский район, посёлок Управленческий, улица Парижской Коммуны, 18", 40.0, 1/10, 2350000, 1, 10,,53.34722,50.211809, Красноглинский
"Россия, Самара, Киевская улица, 5", 32.0, 9/9, 1700000, 1, 9,,53.200452,50.151352, Ленинский
"Россия, Самара, Красноглинский район, микрорайон Крутые Ключи, улица Виталия Жалнина, 16", 34.0, 3/3, 1500000, 1, 3,,53.314395,50.310785, Красноглинский
"Россия, Самарская область, Волжский район, жилой район Южный Город - 2, улица Дмитрия Донского, 8", 34.0, 1/9, 1700000, 1, 9,,53.093143,50.161809, Волжский район
"Россия, Самара, улица Гагарина, 33", 37.0, 8/9, 2400000, 1, 9,,53.199703,50.171466, Железнодорожный
"Россия, Самара, улица Тухачевского, 40А", 51.0, 9/25, 2250000, 1, 25,,53.189706,50.148199, Железнодорожный
"Россия, Самара, Тверская улица", 40.81, 8/19, 1850000, 1, 19,,53.196266,50.151451, Железнодорожный
"Россия, Самара, улица Гагарина, 63А", 30.0, 5/9, 1800000, 1, 9,,53.19898,50.184967, Железнодорожный
"Россия, Самарская область, Тольятти, улица Карла Маркса, 2", 33.99, 5/16, 1735000, 1, 16,,53.523636,49.397854, Промышленный
"Россия, Самара, площадь Куйбышева", 31.3, 4/12, 3120000, 1, 12,,53.195538,50.101783, Ленинский
"Россия, Самара, посёлок Мехзавод, 1-й квартал, 53", 39.6, 7/10, 2370000, 1, 10,,53.307331,50.286109, Красноглинский
"Россия, Самара, Киевская улица", 42.1, 11/17, 2700000, 1, 17,,53.200183,50.152879, Железнодорожный
"Россия, Самара, Краснодонская улица, 10", 43.0, 18/27, 2462970, 1, 27,,53.215769,50.261701, Промышленный
"Россия, Самара, Самарская улица, 76", 35.0, 5/7, 2870000, 1, 7,,53.18955,50.102726, Самарский
"Россия, Самара, улица Тухачевского, 40А", 48.0, 2/25, 2127000, 1, 25,,53.189706,50.148199, Железнодорожный
"Россия, Самарская область, Волжский район, жилой район Южный Город - 2, Губернаторская улица", 34.0, 2/9, 1535380, 1, 9,,53.093516,50.166192, Волжский район
"Россия, Самара, Красноглинский район, микрорайон Крутые Ключи, бульвар Ивана Финютина, 52", 35.0, 2/3, 1600000, 1, 3,,53.325379,50.313238, Красноглинский
"Россия, Самарская область, Волжский район, жилой район Южный Город - 1, Подстепновская улица", 38.37, 6/9, 1768000, 1, 9,,53.111082,50.145935, Волжский район
"Россия, Самара, улица Г.С. Аксакова, 1", 42.1, 11/21, 2820700, 1, 21,,53.190758,50.130062, Железнодорожный
"Россия, Самара, улица 22 Партсъезда, 36", 32.4, 4/5, 1750000, 1, 5,,53.21118,50.227341, Советский
"Россия, Самара, посёлок Мехзавод, 1-й квартал, 50", 37.86, 6/10, 1609050, 1, 10,,53.306503,50.286809, Красноглинский
"Россия, Самара, Краснодонская улица, 10", 44.59, 18/27, 2541630, 1, 27,,53.215769,50.261701, Промышленный
"Россия, Самара, Красноглинский район, микрорайон Крутые Ключи, улица Евгения Золотухина, 24", 33.47, 3/3, 1550000, 1, 3,,53.31765,50.310049, Красноглинский
"Россия, Самара, Ново-Садовая улица, 303А", 42.0, 14/16, 2830000, 1, 16,,53.234691,50.191525, Октябрьский
"Россия, Самара, улица Советской Армии, 170", 47.02, 4/10, 2115900, 1, 10,,53.218168,50.200921, Советский
"Россия, Самара, улица Маяковского, 95", 48.0, 8/17, 2900000, 1, 17,,53.196488,50.123163, Ленинский
"Россия, Самара, проспект Кирова, 201", 41.0, 3/10, 2598500, 1, 10,,53.231031,50.248586, Кировский
"Россия, Самара, Ново-Садовая улица, 339", 37.0, 1/19, 2500000, 1, 19,,53.250232,50.20712, Промышленный
"Россия, Самара, Демократическая улица, 178", 35.0, 3/3, 1700000, 1, 3,,53.288678,50.220702, Кировский
"Россия, Самара, Ново-Садовая улица, 42", 32.0, 1/9, 2570000, 1, 9,,53.214308,50.137905, Октябрьский
"Россия, Самара, улица Гая, 32", 44.0, 8/16, 2576000, 1, 16,,53.211315,50.16348, Октябрьский
"Россия, Самара, улица Калинина, 26", 40.0, 18/18, 2950000, 1, 18,,53.22019,50.247203, Промышленный
"Россия, Самара, проспект Ленина, 1", 35.0, 3/10, 2700000, 1, 10,,53.205167,50.133539, Октябрьский
"Россия, Самара, Физкультурная улица, 133", 29.8, 1/5, 1800000, 1, 5,,53.221845,50.273739, Кировский
"Россия, Самара, Владимирская улица, 45", 30.0, 1/9, 2250000, 1, 9,,53.187866,50.143878, Железнодорожный
"Россия, Самара, Осетинская улица, 11", 34.6, 13/16, 2190000, 1, 16,,53.15042,50.074079, Куйбышевский
"Россия, Самара, Ново-Советская улица, 9", 36.0, 7/9, 1800000, 1, 9,,53.180981,50.128787, Кировский
"Россия, Самара, Ново-Садовая улица, 201", 34.0, 11/24, 3000000, 1, 24,,53.221651,50.168429, Октябрьский
"Россия, Самара, Калужская улица, 11", 56.5, 1/24, 2808000, 1, 24,,53.216502,50.170963, Октябрьский
"Россия, Самара, Полевая улица, 7", 33.0, 5/5, 2800000, 1, 5,,53.207432,50.120504, Ленинский
"Россия, Самара, проспект Кирова", 42.72, 24/27, 2691360, 1, 27,,53.223959,50.256815, Промышленный
"Россия, Самара, Самарская улица, 47", 34.34, 5/6, 3040100, 1, 6,,53.183976,50.099735, Самарский
"Россия, Самара, посёлок Сухая Самарка, Белорусская улица, 133", 44.9, 5/10, 2400000, 1, 10,,53.14193,50.041201, Куйбышевский
"Россия, Самара, Партизанская улица, 185", 32.0, 2/5, 1749000, 1, 5,,53.187176,50.203257, Советский
"Россия, Самара, Владимирская улица, 37", 28.5, 5/9, 2300000, 1, 9,,53.19024,50.142279, Железнодорожный
"Россия, Самара, улица Советской Армии, 129", 31.2, 1/5, 1900000, 1, 5,,53.215559,50.215654, Советский
"Россия, Самара, Воронежская улица, 96", 32.0, 1/2, 1520000, 1, 2,,53.228929,50.239576, Промышленный
"Россия, Самара, улица Советской Армии, 169", 30.2, 2/5, 1900000, 1, 5,,53.22039,50.205503, Советский
"Россия, Самара, улица Василия Татищева, 10", 32.0, 4/5, 1500000, 1, 5,,53.137689,50.078741, Куйбышевский
"Россия, Самара, посёлок Соцгород, Пугачевский тракт, 66", 30.5, 2/4, 1330000, 1, 4,,53.117578,50.085066, Куйбышевский
"Россия, Самара, Тупой переулок, 24", 45.0, 2/24, 2462310, 1, 24,,53.219031,50.191543, Октябрьский
"Россия, Самара, улица Авроры, 148", 30.35, 18/25, 1669250, 1, 25,,53.209341,50.18839, Октябрьский
"Россия, Самара, Ново-Садовая улица, 353В", 44.0, 11/16, 3250000, 1, 16,,53.252764,50.212069, Промышленный
"Россия, Самара, Краснодонская улица, 10", 49.0, 19/27, 2700000, 1, 27,,53.215769,50.261701, Промышленный
"Россия, Самара, Теннисная улица, 14", 31.0, 4/5, 1750000, 1, 5,,53.218923,50.272086, Промышленный
"Россия, Самара, Заводское шоссе, 63", 30.6, 6/9, 1550000, 1, 9,,53.207701,50.283171, Промышленный
"Россия, Самара, Московское шоссе, 29", 42.0, 2/24, 3150000, 1, 24,,53.218282,50.191471, Октябрьский
"Россия, Самарская область, Волжский район, жилой район Южный Город - 2, улица Дмитрия Донского, 7", 37.0, 5/9, 1700000, 1, 9,,53.094132,50.160578, Волжский район
"Россия, Самара, улица 22 Партсъезда, 39", 42.0, 8/9, 1800000, 1, 9,,53.214539,50.226227, Промышленный
"Россия, Самара, Партизанская улица, 183", 30.0, 5/5, 1590000, 1, 5,,53.187256,50.202359, Советский
"Россия, Самара, 5-я просека", 44.2, 2/4, 2145000, 1, 4,,53.247053,50.182191, Октябрьский
"Россия, Самара, улица Промышленности, 116", 65.4, 4/9, 2300000, 1, 9,,53.180247,50.192998, Советский
"Россия, Самара, улица Стара Загора, 21", 34.0, 10/13, 2500000, 1, 13,,53.222433,50.193609, Октябрьский
"Россия, Самара, Ново-Вокзальная улица, 165", 39.5, 9/10, 2670000, 1, 10,,53.233969,50.224089, Промышленный
"Россия, Самара, Ново-Вокзальная улица, 146", 33.0, 5/9, 2500000, 1, 9,,53.241465,50.211342, Промышленный
"Россия, Самара, Ново-Садовая улица, 24", 32.9, 5/9, 2600000, 1, 9,,53.211299,50.13662, Октябрьский
"Россия, Самара, улица Лейтенанта Шмидта", 46.8, 8/17, 2800000, 1, 17,,53.223172,50.15296, Октябрьский
"Россия, Самара, Юбилейная улица, 53", 43.0, 8/16, 2900000, 1, 16,,53.228713,50.261351, Кировский
"Россия, Самара, Заводское шоссе, 57В", 40.0, 3/16, 2400000, 1, 16,,53.208014,50.280719, Промышленный
"Россия, Самара, Садовая улица, 256", 43.13, 15/16, 3105360, 1, 16,,53.202416,50.120163, Ленинский
"Россия, Самара, проспект Карла Маркса, 195", 31.2, 5/5, 2150000, 1, 5,,53.211347,50.182964, Октябрьский
"Россия, Самара, Краснодонская улица, 10", 43.0, 24/27, 2499450, 1, 27,,53.215769,50.261701, Промышленный
"Россия, Самарская область, Тольятти, улица Карла Маркса, 2", 33.99, 9/16, 1765000, 1, 16,,53.523636,49.397854, Промышленный
"Россия, Самара, улица Тухачевского, 40А", 51.0, 20/24, 2300000, 1, 24,,53.189706,50.148199, Железнодорожный
"Россия, Самара, Красноглинский район, микрорайон Крутые Ключи, улица Евгения Золотухина, 4", 37.0, 3/3, 1500000, 1, 3,,53.316009,50.306348, Красноглинский
"Россия, Самара, проспект Карла Маркса, 128", 30.5, 1/5, 1750000, 1, 5,,53.201337,50.157371, Железнодорожный
"Россия, Самара, 8-я просека 5-й переулок", 45.0, 16/18, 2303670, 1, 18,,53.259197,50.194525, Октябрьский
"Россия, Самара, улица Клары Цеткин, 23", 47.0, 9/17, 3050000, 1, 17,,53.227015,50.153643, Октябрьский
"Россия, Самара, 8-я просека 5-й переулок", 33.0, 14/18, 1700000, 1, 18,,53.259197,50.194525, Октябрьский
"Россия, Самара, улица Советской Армии", 37.0, 3/25, 1699200, 1, 25,,53.223209,50.200598, Советский
"Россия, Самара, Южный проезд, 182А", 39.0, 9/9, 1850000, 1, 9,,53.187704,50.216723, Советский
"Россия, Самара, Ново-Садовая улица, 283А", 43.0, 1/10, 2650000, 1, 10,,53.231867,50.183656, Октябрьский
"Россия, Самара, Волжское шоссе, 121", 46.0, 13/16, 2850000, 1, 16,,53.277082,50.264109, Кировский
"Россия, Самара, улица Гая, 32", 44.0, 2/16, 2531200, 1, 16,,53.211315,50.16348, Октябрьский
