adress,area,floor,price,rooms,floors_total,year,latitude,longitude,district
"Россия, Самара, Аэродромная улица, 102", 35.0, 11/16, 1615950, 1, 16,,53.194767,50.208162, Советский
"Россия, Самара, проспект Карла Маркса, 200", 43.0, 22/24, 2800000, 1, 24,,53.217764,50.193241, Октябрьский
"Россия, Самара, улица Виталия Талабаева, 2", 42.64, 8/16, 2400000, 1, 16,,53.146748,50.077151, Куйбышевский
"Россия, Самара, улица Николая Панова, 52", 39.0, 15/16, 3100000, 1, 16,,53.21002,50.16365, Октябрьский
"Россия, Самара, улица Тухачевского, 40А", 51.0, 6/24, 2200000, 1, 24,,53.189706,50.148199, Железнодорожный
"Россия, Самара, посёлок Мехзавод, 14-й квартал, 3", 31.0, 2/5, 1540000, 1, 5,,53.301854,50.270792, Красноглинский
"Россия, Самара, улица Промышленности, 313", 33.0, 3/9, 1800000, 1, 9,,53.200949,50.228158, Советский
"Россия, Самара, Заводское шоссе, 57В", 40.0, 2/9, 2200000, 1, 9,,53.208014,50.280719, Промышленный
"Россия, Самарская область, Волжский район, жилой район Южный Город - 1, улица Лета, 4", 33.0, 3/5, 1690000, 1, 5,,53.116892,50.161512, Волжский район
"Россия, Самара, Красноглинский район, микрорайон Крутые Ключи, бульвар Ивана Финютина, 45", 33.3, 3/3, 1500000, 1, 3,,53.321797,50.313363, Красноглинский
"Россия, Самара, 5-я просека, 104", 38.0, 6/16, 2600000, 1, 16,,53.245033,50.18415, Октябрьский
"Россия, Самара, Ново-Советская улица, 9", 36.0, 7/9, 1800000, 1, 9,,53.180981,50.128787, Кировский
"Россия, Самара, Московское шоссе, 29", 42.0, 19/24, 2700000, 1, 24,,53.218282,50.191471, Октябрьский
"Россия, Самара, улица Елизарова, 36", 30.0, 2/5, 1740000, 1, 5,,53.231414,50.276146, Кировский
"Россия, Самара, Юбилейная улица, 39", 30.3, 5/5, 1550000, 1, 5,,53.226719,50.264576, Кировский
"Россия, Самара, улица Тухачевского, 40А", 51.0, 11/25, 2250000, 1, 25,,53.189706,50.148199, Железнодорожный
"Россия, Самара, улица Мира, 18", 34.5, 2/3, 1700000, 1, 3,,53.31049,50.310085, Красноглинский
"Россия, Самара, 5-я просека, 99", 49.0, 21/23, 3200000, 1, 23,,53.242888,50.184761, Октябрьский
"Россия, Самара, Смышляевское шоссе, 1", 28.8, 2/9, 1500000, 1, 9,,53.232966,50.323299, Кировский
"Россия, Самара, улица 22 Партсъезда, 52", 37.0, 8/9, 1500000, 1, 9,,53.214469,50.222957, Советский
"Россия, Самара, Московское шоссе, 18-й километр, 12", 32.0, 1/5, 1599000, 1, 5,,53.278266,50.269175, Промышленный
"Россия, Самара, Дачная улица", 41.0, 4/19, 1900000, 1, 19,,53.196887,50.146412, Железнодорожный
"Россия, Самара, улица Советской Армии, 93А", 38.0, 8/24, 1700000, 1, 24,,53.205976,50.214127, Советский
"Россия, Самара, Волжское шоссе, 121", 40.4, 10/16, 2300000, 1, 16,,53.277082,50.264109, Кировский
"Россия, Самара, проспект Карла Маркса, 4А", 39.0, 15/24, 2517000, 1, 24,,53.191335,50.1345, Железнодорожный
"Россия, Самара, Ново-Вокзальная улица, 132", 23.0, 4/9, 1850000, 1, 9,,53.238949,50.213588, Промышленный
"Россия, Самара, Пятигорская улица, 10", 30.5, 9/9, 1760000, 1, 9,,53.187688,50.140141, Железнодорожный
"Россия, Самара, Осетинская улица, 8", 38.0, 9/16, 1850000, 1, 16,,53.151079,50.075499, Куйбышевский
"Россия, Самара, Центральная улица, 1А", 42.0, 16/16, 2980000, 1, 16,,53.219613,50.190761, Октябрьский
"Россия, Самара, улица Стара Загора, 102А", 33.0, 7/9, 2240000, 1, 9,,53.238356,50.224251, Промышленный
"Россия, Самара, Молодёжная улица, 14", 51.0, 9/17, 3125000, 1, 17,,53.259843,50.221717, Промышленный
"Россия, Самара, Центральная улица, 1Б", 33.0, 14/16, 2600000, 1, 16,,53.21984,50.191202, Октябрьский
"Россия, Самара, Ялтинская улица, 28Б", 39.0, 1/10, 2350000, 1, 10,,53.206283,50.188031, Октябрьский
"Россия, Самара, Брусчатый переулок, 23", 33.7, 8/9, 2650000, 1, 9,,53.200781,50.217639, Советский
"Россия, Самара, улица Гастелло, 22А", 32.0, 21/24, 2500000, 1, 24,,53.226929,50.191462, Октябрьский
"Россия, Самара, Радонежская улица, 1", 42.0, 11/15, 2670000, 1, 15,,53.205129,50.141174, Октябрьский
"Россия, Самара, Демократическая улица, 162", 39.0, 3/3, 2300000, 1, 3,,53.287774,50.221807, Кировский
"Россия, Самара, Тихвинская улица, 24", 41.9, 3/10, 2870000, 1, 10,,53.229986,50.189108, Октябрьский
"Россия, Самара, Аэродромная улица, 102", 35.0, 10/16, 1611900, 1, 16,,53.194767,50.208162, Советский
"Россия, Самара, Арцыбушевская улица, 27А", 37.0, 2/5, 2750000, 1, 5,,53.188541,50.112716, Ленинский
"Россия, Самара, Печерская улица, 29", 40.0, 14/22, 3150000, 1, 22,,53.203419,50.183961, Октябрьский
"Россия, Самара, 3-я просека", 40.6, 2/4, 2841000, 1, 4,,53.236475,50.174376, Октябрьский
"Россия, Самара, Майская улица, 4", 50.0, 12/16, 2758240, 1, 16,,53.233689,50.256779, Кировский
"Россия, Самара, улица 22 Партсъезда, 55", 40.0, 4/10, 2750000, 1, 10,,53.219856,50.219328, Промышленный
"Россия, Самара, 8-я просека 5-й переулок", 45.0, 17/18, 2600000, 1, 18,,53.259197,50.194525, Октябрьский
"Россия, Самара, улица Тухачевского, 40А", 50.85, 7/25, 2300000, 1, 25,,53.189706,50.148199, Железнодорожный
"Россия, Самара, проспект Карла Маркса", 38.5, 10/16, 1860000, 1, 16,,53.224503,50.213156, Промышленный
"Россия, Самара, Щигровский переулок, 12", 30.4, 7/9, 1900000, 1, 9,,53.207329,50.284276, Промышленный
"Россия, Самара, посёлок Мехзавод, 1-й квартал, 53", 39.0, 9/10, 2290000, 1, 10,,53.307331,50.286109, Красноглинский
