price_per_m,latitude,longitude
39.0,53.109417,50.079775
49.0,53.251127,50.250077
58.2,53.243093,50.233952
51.0,53.255076,50.227574
63.2,53.244785,50.185354
72.4,53.215343,50.164567
42.0,53.346661,50.2095
50.0,53.190931,50.210165
61.8,53.276495,50.263058
49.0,53.316875,50.312447
65.6,53.229765,50.193771
61.7,53.223802,50.193699
66.0,53.244979,50.189576
63.0,53.245297,50.216705
45.5,53.115827,50.15729
61.0,53.241465,50.211342
30.0,53.484229,49.851405
53.7,53.2364,50.244247
71.2,53.213693,50.167109
60.0,53.190737,50.13724
70.2,53.193386,50.113057
47.0,53.32568,50.317783
51.5,53.210091,50.279111
71.2,53.237731,50.223559
71.1,53.259811,50.189423
47.0,53.251746,50.245074
53.8,53.209745,50.278293
49.0,53.37323,50.372571
73.4,53.221651,50.168429
40.3,53.315574,50.30951
64.0,53.209427,50.206724
40.3,53.120421,50.087752
55.5,53.214006,50.172139
72.7,53.187359,50.099978
52.8,53.110946,50.144606
49.5,53.373756,50.186476
52.8,53.25229,50.234698
64.0,53.188384,50.139342
68.8,53.219921,50.245577
54.8,53.309537,50.286827
28.0,53.157478,50.087994
57.5,53.203964,50.231572
46.2,53.251644,50.37682
91.0,53.211142,50.140626
48.0,53.195214,50.163381
69.0,53.192107,50.134069
75.0,53.190731,50.202619
72.3,53.216826,50.162761
60.0,53.194848,50.209428
93.0,53.191643,50.088794
65.8,53.222239,50.244723
55.5,53.110368,50.139333
49.7,53.300793,50.275347
130.0,53.19789,50.103095
45.5,53.229549,50.273191
40.5,53.391454,50.168519
50.0,53.215887,50.23442
57.0,53.307208,50.289235
60.0,53.182195,50.152646
46.4,53.351999,50.2141
79.7,53.209158,50.126658
22.0,53.486775,49.854953
48.8,53.349843,50.211
87.4,53.192798,50.112114
44.6,53.316187,50.306698
58.0,53.259994,50.22708
80.5,53.185368,50.109715
47.2,53.195565,50.161162
57.7,53.232729,50.256788
46.3,53.30166,50.270217
51.7,53.116984,50.160731
53.0,53.227296,50.248316
59.0,53.264831,50.231186
67.0,53.216303,50.244687
49.0,53.244699,50.22558
63.3,53.187926,50.101631
80.5,53.207017,50.139396
59.3,53.223711,50.192244
80.5,53.188141,50.083682
59.0,53.116789,50.156131
50.0,53.185805,50.193897
44.0,53.318624,50.312303
90.5,53.188417,50.131616
26.0,53.188476,50.102619
24.0,53.104643,50.031643
61.0,53.251779,50.227592
62.0,53.11039,50.143842
39.5,53.311302,50.311387
57.2,53.248029,50.193169
50.5,53.220605,50.199978
74.0,53.203419,50.183961
22.0,53.100042,50.031301
63.0,53.239994,50.214881
68.7,53.197291,50.153724
69.3,53.241455,50.187015
49.0,53.112692,50.143357
50.0,53.347801,50.222122
67.3,53.194416,50.108449
55.4,53.248492,50.077268
73.3,53.24451,50.195864
66.0,53.193418,50.14227
70.7,53.230056,50.181949
62.2,53.264691,50.222912
72.0,53.198386,50.127754
41.0,53.108622,50.085111
43.0,53.32063,50.312366
37.4,53.234271,50.298622
63.8,53.24784,50.190151
74.3,53.259843,50.221717
53.8,53.308838,50.287582
123.0,53.203656,50.12407
52.1,53.151079,50.075499
80.0,53.252764,50.212069
35.0,53.489802,49.851531
61.0,53.184607,50.08724
57.5,53.225808,50.24422
57.0,53.202168,50.134123
62.5,53.228347,50.266301
49.0,53.206046,50.231365
56.7,53.186744,50.123046
56.6,53.238582,50.282713
61.0,53.237354,50.215375
48.2,53.250577,50.266274
100.0,53.201326,50.11604
42.0,53.318785,50.312672
61.3,53.140569,50.022606
53.0,53.320157,50.311216
71.7,53.210554,50.153886
45.7,53.325965,50.315816
63.0,53.197232,50.137905
36.0,53.347957,50.222993
59.0,53.191562,50.171097
48.0,53.247689,50.259869
72.8,53.226929,50.191462
59.0,53.245205,50.231248
59.2,53.208149,50.169067
52.0,53.231489,50.25491
45.0,53.306707,50.313911
47.0,53.241056,50.229057
52.8,53.225102,50.262869
60.0,53.253675,50.234725
69.5,53.198203,50.144175
51.0,53.230212,50.275158
60.0,53.220886,50.192872
64.0,53.26608,50.221636
50.4,53.342828,50.223541
72.5,53.189026,50.106706
45.0,53.193197,50.129227
48.0,53.296418,50.291876
43.0,53.358679,50.210857
34.7,53.230066,50.252251
59.0,53.194055,50.209851
55.0,53.190127,50.208674
58.0,53.266893,50.227017
85.3,53.201008,50.126613
56.8,53.276856,50.262222
75.0,53.194378,50.12142
79.5,53.18179,50.094893
72.0,53.19536,50.114342
53.5,53.34843,50.222436
44.0,53.240242,50.233117
61.0,53.19147,50.139072
56.0,53.241562,50.220954
48.8,53.342807,50.221807
56.0,53.287225,50.220523
45.0,53.235284,50.288265
46.0,53.22673,50.296484
70.5,53.1968,50.112608
60.3,53.193359,50.209662
12.0,53.344591,50.21127
46.0,53.313174,50.311513
65.3,53.267001,50.221493
63.0,53.208225,50.216804
50.5,53.241703,50.237797
58.3,53.239159,50.236198
75.5,53.241509,50.185524
42.0,53.516446,50.137752
45.0,53.296967,50.288561
55.7,53.192868,50.1428
25.0,53.482986,49.855286
51.5,53.212835,50.209177
46.0,53.38952,50.16674
56.5,53.198732,50.166435
