price_per_m,floors,latitude,longitude
46.7,10,53.194438,50.206275
66.2,16,53.222579,50.189683
69.3,9,53.258787,50.20915
68.6,13,53.210139,50.203832
60.0,5,53.253675,50.234725
54.1,16,53.234546,50.256707
60.0,5,53.196412,50.177439
59.1,5,53.216443,50.239342
61.6,9,53.247646,50.249709
45.7,23,53.187445,50.133799
45.8,9,53.142427,50.049573
61.3,16,53.258319,50.218654
51.7,5,53.250728,50.236647
65.6,18,53.22019,50.247203
66.3,16,53.21118,50.204874
49.6,32,53.212253,50.209419
53.0,16,53.307331,50.286809
64.7,9,53.18942,50.128176
59.3,18,53.242241,50.17955
67.1,16,53.25882,50.222472
46.0,9,53.113871,50.149726
52.0,9,53.349333,50.211809
53.3,2,53.203748,50.176918
74.5,16,53.212663,50.142243
61.6,9,53.248508,50.224224
66.1,11,53.210678,50.217028
72.7,5,53.181941,50.075831
77.6,21,53.217257,50.163866
73.7,9,53.236028,50.20517
55.0,24,53.187888,50.300014
48.6,16,53.15724,50.07699
48.0,3,53.313529,50.306536
71.5,9,53.187866,50.143878
55.2,24,53.217796,50.19387
53.2,10,53.309537,50.286827
46.6,16,53.236491,50.276101
42.7,9,53.093516,50.166192
78.6,25,53.243303,50.186548
44.2,9,53.146964,50.060326
41.0,2,53.229878,50.236108
42.1,7,53.136053,50.129703
78.8,9,53.229258,50.210524
59.0,9,53.239466,50.225966
60.2,9,53.264351,50.214109
51.7,24,53.218573,50.192603
59.5,17,53.227495,50.152376
47.5,3,53.310264,50.307587
44.0,3,53.314046,50.30438
53.7,25,53.394289,50.293151
65.5,12,53.204487,50.228554
64.0,14,53.222239,50.244723
55.0,5,52.98841,49.674482
73.5,9,53.213693,50.167109
70.5,27,53.254101,50.215375
54.7,9,53.256261,50.234905
65.1,18,53.210943,50.163884
46.4,10,53.1871,50.205072
66.5,10,53.207043,50.188857
65.7,5,53.200706,50.163713
49.4,19,53.194572,50.15067
70.3,9,53.19024,50.142279
66.0,18,53.244203,50.204101
64.5,9,53.240964,50.194013
37.0,4,53.344301,50.210551
51.4,24,53.219613,50.19183
44.7,3,53.324148,50.311926
60.4,9,53.239159,50.236198
52.0,26,53.209341,50.18839
67.5,19,53.241449,50.184617
63.7,5,53.196941,50.166417
64.2,5,53.196563,50.182659
80.0,5,53.195446,50.122283
54.7,26,53.215165,50.166103
50.4,9,53.235009,50.286558
54.0,9,53.210549,50.255126
54.0,5,53.230799,50.21728
66.7,11,53.246127,50.211072
41.8,9,53.393381,50.169175
46.8,5,53.118962,50.085335
45.7,3,53.32745,50.315906
56.5,9,53.212695,50.247229
53.0,5,53.217284,50.233728
55.2,5,53.215731,50.26807
61.5,18,53.241832,50.181796
70.9,16,53.198203,50.144175
50.7,5,53.24749,50.311989
67.8,25,53.241994,50.185731
78.0,17,53.19789,50.169813
67.9,10,53.224191,50.198631
54.8,5,53.231473,50.185443
44.2,3,53.319355,50.309384
45.4,14,53.211482,50.214145
51.8,16,53.154827,50.075966
53.4,12,53.255076,50.227574
45.7,16,53.207826,50.219337
71.0,10,53.238717,50.275769
59.7,10,53.244968,50.186935
68.7,9,53.19659,50.135165
56.2,17,53.223172,50.15296
52.3,13,53.237628,50.261522
83.6,4,53.187861,50.106526
68.8,27,53.253907,50.214396
68.5,17,53.197291,50.153724
59.5,9,53.249882,50.229533
54.8,5,53.296994,50.272131
49.2,19,53.194103,50.151164
54.0,5,53.226223,50.26392
57.0,5,53.117886,50.159518
39.0,4,53.343511,50.210857
54.0,25,53.188519,50.132515
36.0,6,53.287429,50.226326
64.2,9,53.197987,50.223649
78.3,9,53.237655,50.208665
46.0,4,53.325718,50.305359
61.8,12,53.20878,50.206715
55.0,10,53.199584,50.121627
54.2,5,53.197335,50.159132
54.4,5,53.199088,50.172849
47.0,9,53.214539,50.226227
62.2,16,53.267066,50.218744
46.5,9,53.19078,50.172822
72.6,16,53.24333,50.182335
66.0,9,53.223517,50.269364
57.3,10,53.229522,50.263741
75.1,16,53.221565,50.19272
49.6,16,53.231915,50.186692
63.2,9,53.187246,50.122301
49.0,10,53.306492,50.285408
57.0,5,53.198683,50.162375
57.0,5,53.207901,50.232731
69.9,10,53.210554,50.153886
58.6,5,53.225457,50.210093
65.4,10,53.267319,50.217711
56.7,18,53.253292,50.197849
49.8,22,53.220751,50.198577
48.8,5,53.154697,50.090851
64.7,9,53.244489,50.226892
44.0,3,53.325594,50.31728
37.5,16,53.148967,50.076388
59.0,5,53.214275,50.197068
