price,longitude,latitude,rooms,area,floor,floors_total,year
3590000,50.190366,53.219414,1,45.0,5,16,0
3550000,50.170747,53.21741899999999,1,41.0,11,16,0
3600000,50.244687,53.216303,1,53.0,2,16,0
3150000,50.152646,53.18219499999999,1,38.0,10,24,0
3200000,50.222795,53.259875,1,42.0,3,25,0
3500000,50.201191,53.254688,1,49.0,3,18,0
3150000,50.212069,53.252764,1,45.0,2,16,0
3000000,50.204874,53.21118000000001,1,46.0,11,16,0
4200000,50.1383,53.211994,1,37.0,6,12,0
4500000,50.101963,53.181488,1,62.0,3,7,0
3790000,50.182668,53.24130400000001,1,48.0,2,18,0
3350000,50.184437,53.244327,1,55.0,9,12,0
3099000,50.186935,53.24496800000001,1,50.0,8,10,0
3200000,50.136404,53.209648,1,40.0,4,14,0
3600000,50.155134,53.22016899999999,1,47.0,8,9,0
3300000,50.191471,53.218282,1,42.0,21,24,0
3550000,50.168223,53.216168,1,47.0,5,10,0
4100000,50.10178300000001,53.195538,1,56.0,5,25,0
3000000,50.204101,53.24420300000001,1,44.0,17,18,0
3300000,50.18415,53.24503299999999,1,36.1,16,16,0
3100000,50.21127,53.25326,1,46.0,3,16,0
4100000,50.1815,53.237116,1,53.0,10,25,0
3000000,50.127736,53.20085200000001,1,31.0,1,9,0
5500000,50.117297,53.202761,1,65.0,5,21,0
3199000,50.193241,53.217764,1,48.0,20,24,0
3750000,50.106032,53.185001,1,53.0,5,14,0
3300000,50.132461,53.188551,1,44.6,11,17,0
3550000,50.227547,53.239358,1,52.0,7,13,0
3600000,50.204101,53.24420300000001,1,50.3,16,18,0
3400000,50.164045,53.21627,1,48.0,4,16,0
3400000,50.126047,53.20802,1,40.5,3,5,0
3700000,50.193717,53.220864,1,52.5,19,22,0
4595000,50.193223,53.21830799999999,3,92.6,8,24,0
3999999,50.152143,53.225145,3,72.0,14,17,0
4631000,50.193223,53.21830799999999,3,92.6,4,24,0
4300000,50.077394,53.148962,3,90.6,11,16,0
5000000,50.247283,53.230918,3,102.0,5,10,0
3650000,50.248218,53.251348,3,74.0,12,16,0
4590000,50.193223,53.21830799999999,3,92.6,6,24,0
5100000,50.192298,53.247759,3,90.0,15,16,0
5051720,50.276101,53.236491,3,109.8,9,16,0
3100000,50.09330300000001,53.181008,3,64.0,1,2,0
3150000,50.21100000000001,53.34984300000001,3,67.0,3,9,0
5100000,50.178652,53.380132,3,110.0,2,10,0
4500000,50.216669,53.25151500000001,3,83.7,8,24,0
4880000,50.10178300000001,53.195538,3,71.1,8,9,0
3660800,50.3194,53.298878,3,83.2,2,9,0
4700000,50.140833,53.211121,3,68.6,8,9,0
5600000,50.244687,53.216303,3,88.0,10,16,0
4200000,50.139342,53.188384,3,73.7,10,10,0
4000000,50.139773,53.200339,3,55.0,5,9,0
3750000,50.095953,53.185141,3,67.4,3,3,0
8900000,50.110587,53.194529,3,90.0,4,9,0
3550000,50.229353,53.260198,3,65.6,8,9,0
6200000,50.10178300000001,53.195538,3,78.6,4,9,0
5535000,50.21056,53.259261,3,123.0,3,17,0
8300000,50.142378,53.20086800000001,3,113.6,13,13,0
5600000,50.180053,53.243341,3,83.0,12,13,0
6250000,50.245828,53.219931,3,92.0,5,15,0
4530000,50.193223,53.21830799999999,3,92.0,20,24,0
7050000,50.153643,53.227015,3,110.3,8,17,0
3656400,50.3194,53.298878,3,83.1,7,9,0
3200000,50.163623,53.208958,3,56.0,2,5,0
8950000,50.207713,53.259886,3,149.0,3,18,0
5500000,50.134868,53.186339,3,102.0,10,16,0
9600000,50.138803,53.205992,3,130.0,10,22,0
4571700,50.19260300000001,53.218573,3,93.3,2,24,0
9500000,50.10178300000001,53.195538,3,146.0,5,9,0
3350000,50.1428,53.192868,3,70.0,1,12,0
6600000,50.076999,53.182999,3,65.0,3,9,0
4680000,50.222499,53.204638,3,75.0,3,9,0
9000000,50.170289,53.241826,3,132.0,2,4,0
3550000,50.301119,53.310936,3,88.0,9,10,0
9800000,50.182084,53.242985,3,173.2,23,24,0
3138000,50.10178300000001,53.195538,3,62.6,1,9,0
4681800,50.19260300000001,53.218573,3,92.5,8,24,0
6990000,50.214396,53.253907,3,100.0,12,27,0
6396820,50.154011,53.228525,3,110.3,4,17,0
4500000,50.197526,53.242047,3,80.0,8,9,0
3100000,50.305548,53.320974,3,64.4,3,3,0
7700000,50.118501,53.190224,3,98.4,2,12,0
4300000,50.24431,53.21833,3,74.0,1,10,0
7500000,50.112608,53.1968,3,106.1,8,10,0
4390000,50.14386,53.207065,3,59.5,6,9,0
8000000,50.219831,53.259035,3,90.0,16,16,0
3150000,50.146133,53.112368,3,72.8,7,9,0
7700000,50.099978,53.19871,3,78.0,4,4,0
4900000,50.141282,53.198041,3,59.0,1,9,0
6800000,50.147229,53.213671,3,103.8,3,24,0
3300000,50.247212,53.233495,3,60.0,5,5,0
7600000,50.083682,53.188141,3,107.0,8,9,0
5190000,50.112716,53.188541,3,67.0,1,5,0
7100000,50.11094600000001,53.187003,3,112.0,9,9,0
5200000,50.196349,53.241347,3,75.0,8,10,0
7600000,50.115033,53.192981,3,157.0,11,11,0
3890000,50.208728,53.251277,3,74.0,3,12,0
7800000,50.076963,53.182173,3,100.0,3,9,0
3850000,50.220244,53.255539,3,69.1,3,9,0
7200000,50.146888,53.19703199999999,3,101.0,12,15,0
3650000,50.234258,53.26315,3,68.0,6,9,0
9800000,50.10178300000001,53.195538,3,81.0,12,16,0
4700000,50.164144,53.214367,3,62.3,5,9,0
4050000,50.194525,53.259197,3,83.7,3,17,0
8000000,50.102152,53.181299,3,103.0,5,6,0
4692000,50.19260300000001,53.218573,3,92.0,19,24,0
7950000,50.167711,53.21899300000001,3,96.0,9,24,0
4681800,50.19260300000001,53.218573,3,91.8,23,24,0
6590000,50.201604,53.255129,3,90.0,5,19,0
7550000,50.094893,53.18179,3,104.5,7,16,0
4585000,50.193223,53.21830799999999,3,92.6,3,24,0
6500000,50.105808,53.18304200000001,3,72.3,3,7,0
6000000,50.210929,53.22022800000001,3,180.0,1,3,0
6600000,50.168223,53.216168,3,98.0,2,10,0
6699999,50.187518,53.242231,3,83.0,20,25,0
6400000,50.225086,53.232869,3,111.0,14,14,0
8000000,50.163866,53.217257,3,100.0,14,21,0
9800000,50.112707,53.198478,3,116.0,8,10,0
7500000,50.093995,53.181466,3,105.0,5,16,0
6500000,50.15314,53.19816,3,99.5,6,16,0
7500000,50.18353,53.202437,3,115.0,6,10,0
8900000,50.10178300000001,53.195538,3,105.0,14,25,0
7250000,50.078274,53.18199,3,102.0,2,7,0
7500000,50.162815,53.214561,3,120.0,2,9,0
6500000,50.244687,53.216303,3,92.0,15,16,0
6655000,50.206176,53.221511,3,101.4,14,19,0
6198000,50.201604,53.255129,3,92.0,5,19,0
8500000,50.169202,53.22156999999999,3,102.0,21,24,0
6200000,50.206724,53.20942700000001,3,109.8,11,16,0
6300000,50.15075,53.223996,3,110.0,7,17,0
6150000,50.2232,53.233592,3,87.7,13,14,0
8650000,50.153454,53.222039,3,96.0,17,23,0
6050000,50.078274,53.18199,3,92.0,5,7,0
2950000,50.215088,53.210198,1,49.0,9,11,0
1579500,50.326102,53.301773,1,35.1,5,9,0
1700000,50.146591,53.1888,1,39.0,6,9,0
1350000,50.30633,53.312948,1,29.0,2,3,0
2400000,50.090186,53.14988,1,48.5,2,10,0
1650000,50.10178300000001,53.195538,1,30.5,2,3,0
1560000,50.253006,53.231026,1,31.1,1,5,0
1500000,50.30792,53.315122,1,33.5,1,3,0
2099000,50.148217,53.19392,1,40.0,9,10,0
1710000,50.284132,53.20933,1,35.0,4,9,0
1510000,50.20435300000001,53.35229399999999,1,43.1,2,4,0
1595000,50.142549,53.109687,1,30.0,1,10,0
2095000,50.144256,53.111773,1,37.0,6,9,0
2199000,50.041542,53.14262700000001,1,50.0,6,10,0
1750000,50.278374,53.225759,1,33.0,5,5,0
1550000,50.163713,53.094576,1,39.0,2,9,0
1630159,50.311414,53.959522,1,39.8,9,10,0
2700000,50.229533,53.24988199999999,1,48.5,2,9,0
1500000,50.309249,53.318269,1,33.0,3,3,0
1400000,50.227314,53.339834,1,30.1,9,9,0
2200000,50.216768,53.196013,1,35.0,1,9,0
2250000,50.215654,53.215559,1,32.7,2,5,0
3000000,50.188767,53.192938,3,60.0,5,5,0
2273700,50.160991,53.223932,1,43.0,9,26,0
1150000,50.284114,53.208047,1,23.0,4,9,0
2800000,50.253006,53.231026,3,66.0,4,5,0
2570000,50.19260300000001,53.218573,1,42.3,9,24,0
1850000,50.146295,53.11456800000001,1,32.0,6,9,0
