adress,area,floor,?,price,rooms,floors_total,year,latitude,longitude
"Россия, Санкт-Петербург, Приморский р-н, Дибуновская ул., 50, Чёрная речка, Санкт-Петербург",79.0,11/19,5333,14500000,2,25,2005,59.98485,30.260029
"Санкт-Петербург, Верейская улица, 42/8, Семёновский, Санкт-Петербург",22.0,2/4,3065,3600000,0,3,1955,59.913722,30.328669
"Санкт-Петербург, Новоколомяжский проспект, 13, Коломяги, Санкт-Петербург",100.5,11/16,3785,14000000,3,17,2002,60.030564,30.293213
"Санкт-Петербург, набережная Обводного канала, 66, Волковское, Санкт-Петербург",36.0,1/5,2238,5000000,2,5,1884,59.914191,30.337167
"Санкт-Петербург, улица Шелгунова, 28, Обуховский округ, Санкт-Петербург",44.6,2/5,4615,4550000,2,5,1966,59.862772,30.443995
"посёлок Мурино, Всеволожский район, Ленинградская область, улица Шувалова, 16/9, подъезд 5, Санкт-Петербург",37.0,12/25,1492,3850000,1,20,2015,60.056674,30.429334
"Стачек пр-кт, 92к3, Автово, Санкт-Петербург",226.0,8/8,19,29000000,4,11,2011,59.868546,30.263029
"Королева пр-кт, 21к1, Комендантский аэродром, Санкт-Петербург",103.0,4/21,3788,14300000,4,25,2006,60.011914,30.279567
"Санкт-Петербург, Учительская улица, 17к2, Прометей, Санкт-Петербург",50.0,2/5,5340,4900000,3,,,60.031481,30.398549
"Санкт-Петербург, Дунайский проспект, 5к4, подъезд 2, Звёздное, Санкт-Петербург",74.0,7/17,662,9100000,3,13,2006,59.829237,30.330717
"Санкт-Петербург, Краснопутиловская улица, 113к1, Новоизмайловское, Санкт-Петербург",31.6,15/25,3069,5900000,0,25,2014,59.848167,30.308179
"Санкт-Петербург, Ждановская улица, 10, Чкаловское, Санкт-Петербург",68.0,3/9,2240,16500000,2,5,2001,59.958476,30.278633
"Россия г Санкт-Петербург, ул Галерная, д. 44А, Адмиралтейский округ, Санкт-Петербург",79.0,2/5,4617,25000000,3,5,1899,59.93043,30.288047
"ул. Жукова, д. 1, Финляндский округ, Санкт-Петербург",52.6,4/14,1498,7113137,1,15,,59.962435,30.405062
"Санкт-Петербург, Комендантский проспект, 50к1, Юнтолово, Санкт-Петербург",44.8,7/7,21,4900000,1,10,2001,60.028568,30.233744
"Санкт-Петербург, Караванная улица, 24-26, Дворцовый округ, Санкт-Петербург",50.2,1/5,3789,8500000,1,5,1800,59.934308,30.341416
"Санкт-Петербург, проспект Ветеранов, 75к3, Дачное, Санкт-Петербург",45.0,12/17,5342,6500000,1,17,2008,59.83706,30.27141
"Россия, Санкт-Петербург, проспект Наставников, д.19, Пороховые, Санкт-Петербург",160.0,17/24,665,16900000,3,22,2004,59.94444,30.491588
"Пятилеток пр-кт, 8к2, Правобережный, Санкт-Петербург",78.4,6/16,2244,8050000,3,16,1993,59.921033,30.459087
"Санкт-Петербург, улица Щербакова, 29к1, Коломяги, Санкт-Петербург",80.9,6/9,22,8295000,3,9,2003,60.02811,30.285568
"Санкт-Петербург, проспект Просвещения, 43, № 15, Санкт-Петербург",38.7,6/22,3073,4650000,0,29,2017,60.053952,30.327196
"Санкт-Петербург, проспект Юрия Гагарина, 77, Звёздное, Санкт-Петербург",110.0,4/9,4620,22700000,3,8,2008,59.838358,30.334194
"Санкт-Петербург, Ленинский проспект, 82к3, Южно-Приморский округ, Санкт-Петербург",44.3,16/23,1502,5395000,1,23,2011,59.859162,30.197425
"Санкт-Петербург, проспект Испытателей, 20, Комендантский аэродром, Санкт-Петербург",35.1,7/9,3790,3890000,1,9,1976,60.005126,30.277465
"Антонова-Овсеенко ул, 18, Невский округ, Санкт-Петербург",96.0,3/14,5343,13900000,3,14,2006,59.90949,30.470989
"посёлок Шушары, Пушкинский район, Санкт-Петербург, Новгородский проспект, 10, Пушкин, Санкт-Петербург",42.0,19/24,667,3990000,1,24,2015,59.806821,30.369282
"Санкт-Петербург, Пионерская улица, 50, Петровский округ, Санкт-Петербург",86.0,7/10,29,16950000,3,14,2012,59.963539,30.273171
"Россия, Санкт-Петербург, Приморский проспект, д.22, Чёрная речка, Санкт-Петербург",84.6,2/3,3074,13000000,3,3,1917,59.982514,30.273944
"Новоизмайловский пр-кт, 38к1, Новоизмайловское, Санкт-Петербург",45.0,2/5,2245,5000000,2,5,1962,59.856953,30.306229
"Россия г Санкт-Петербург, пр-кт Искровский, д. 31, № 54, Санкт-Петербург",33.0,3/9,4623,3500000,1,,,59.904699,30.467764
"ул. Жукова, д. 1, Финляндский округ, Санкт-Петербург",50.7,4/14,1503,6803592,1,15,,59.962435,30.405062
"ул. Седова, д.86, Ивановский округ, Санкт-Петербург",88.0,1/5,3794,7950000,4,5,1953,59.875203,30.43803
"Санкт-Петербург, улица Добровольцев, 48к2, Урицк, Санкт-Петербург",46.0,5/5,5350,4800000,2,5,1970,59.829631,30.16867
"Россия, Санкт-Петербург, Офицерский переулок, д.8, Чкаловское, Санкт-Петербург",112.0,4/8,670,20000000,2,8,2014,59.955606,30.289098
"Санкт-Петербург, улица Чайковского, 44, Смольнинское, Санкт-Петербург",53.0,2/5,2247,9200000,2,5,1907,59.946676,30.361413
"Санкт-Петербург, улица Бабушкина, 101к1, Обуховский округ, Санкт-Петербург",45.3,2/7,3079,3900000,2,7,1961,59.868342,30.450472
"Санкт-Петербург, Среднерогатская улица, 11, Звёздное, Санкт-Петербург",102.2,3/26,31,15300000,3,26,2017,59.822711,30.33308
"Россия г Санкт-Петербург, ул Туристская, д. 24/42, № 65, Санкт-Петербург",51.5,11/16,4624,8150000,2,16,2011,59.99701,30.208088
"Санкт-Петербург, Витебский проспект, 33к5, Гагаринское, Санкт-Петербург",41.7,5/5,3796,4099999,2,5,1964,59.858087,30.355888
"Замшина ул, 37а, Пискарёвка, Санкт-Петербург",42.4,8/10,1504,5350000,1,10,2007,59.983328,30.412689
"Санкт-Петербург, улица Доблести, 26к2, Южно-Приморский округ, Санкт-Петербург",28.0,13/15,5351,3350000,1,15,1982,59.85369,30.179854
"Санкт-Петербург, улица Маршала Казакова, 78к1, Южно-Приморский округ, Санкт-Петербург",36.1,22/24,673,4300000,1,26,2015,59.868803,30.165805
"Санкт-Петербург, проспект Стачек, 59, подъезд 6, Автово, Санкт-Петербург",82.2,7/7,3797,7799999,3,7,1961,59.873708,30.257981
"Санкт-Петербург, Вязовая улица, 8, Чкаловское, Санкт-Петербург",248.0,4/8,4625,85000000,5,10,2017,59.967691,30.276109
"Ул. ТАВРИЧЕСКАЯ 15 кв. 15, Смольнинское, Санкт-Петербург",128.0,4/5,34,31900000,3,5,1916,59.94371,30.378355
"Санкт-Петербург, Ленинский проспект, 114, Дачное, Санкт-Петербург",39.9,6/13,3080,5600000,1,24,2010,59.852606,30.288407
"Санкт-Петербург, Светлановский проспект, 115к2, Прометей, Санкт-Петербург",60.1,9/9,2248,5150000,3,9,1971,60.043035,30.404056
"Санкт-Петербург, улица Оптиков, 50к2, № 65, Санкт-Петербург",92.0,7/12,1506,14500000,3,12,2010,59.999287,30.2253
"Санкт-Петербург, улица Ольги Форш, 1/4, Прометей, Санкт-Петербург",60.0,6/9,5353,5600000,3,9,1972,60.036214,30.38838
"Россия, Санкт-Петербург, Балтийский бульвар, д.4, Южно-Приморский округ, Санкт-Петербург",62.0,15/23,674,7750000,2,25,2018,59.868984,30.155707
"Ленинградская область, Всеволожский район, посёлок Мурино, улица Шоссе в Лаврики, 74к2, Санкт-Петербург",63.0,14/17,3798,5500000,2,17,2014,60.062036,30.457757
"Санкт-Петербург, проспект Героев, 26к2, Южно-Приморский округ, Санкт-Петербург",78.9,8/17,35,7795000,3,17,2012,59.939095,30.315868
"Санкт-Петербург, проспект Энгельса, 7к1, Светлановское, Санкт-Петербург",86.0,4/5,4627,9900000,3,,,59.99863,30.330717
"Санкт-Петербург, улица Дыбенко, 13к5, № 54, Санкт-Петербург",38.5,3/16,2252,5250000,1,,,59.904302,30.47213
"Санкт-Петербург, Альпийский переулок, 16, Георгиевский, Санкт-Петербург",28.6,1/9,3081,3750000,1,9,1967,59.853916,30.375696
"Санкт-Петербург, Варшавская улица, 19к5, Новоизмайловское, Санкт-Петербург",26.0,20/20,1508,4570000,0,20,2009,59.873735,30.310505
"Санкт-Петербург, Ленинский проспект, 74к1, Южно-Приморский округ, Санкт-Петербург",81.0,15/18,5359,8300000,3,18,2010,59.860861,30.184993
"Санкт-Петербург, Светлановский проспект, 107к2, Прометей, Санкт-Петербург",86.6,2/10,675,8600000,4,10,2000,60.038151,30.40084
"Санкт-Петербург, улица Димитрова, 37к1, № 75, Санкт-Петербург",60.0,2/10,3799,8333000,2,19,2007,59.851173,30.398289
"Санкт-Петербург, улица Чапаева, 18, Посадский, Санкт-Петербург",145.0,10/10,2253,27000000,4,11,2015,59.96326,30.32972
"посёлок Парголово, Санкт-Петербург, улица Фёдора Абрамова, 19к1, Парголово, Санкт-Петербург",82.3,21/27,4628,8150000,3,28,2015,60.078773,30.344695
"Санкт-Петербург, Воронежская улица, 84Б, Волковское, Санкт-Петербург",42.0,2/5,37,6950000,1,5,1902,59.911543,30.346177
"Санкт-Петербург, проспект Королёва, 65, Коломяги, Санкт-Петербург",68.0,8/25,1509,8800000,2,25,2011,60.03354,30.242036
"Санкт-Петербург, Тимуровская улица, 6к1, Прометей, Санкт-Петербург",34.6,1/5,3082,3450000,1,5,1972,60.047124,30.395297
"Орджоникидзе ул, 31к1, Звёздное, Санкт-Петербург",31.0,4/9,5360,3500000,1,9,1969,59.842996,30.340751
"Гороховая ул, 42, № 78, Санкт-Петербург",76.0,4/4,677,11300000,3,4,1870,59.927234,30.324222
"Санкт-Петербург, проспект Наставников, 41к1, Ржевка, Санкт-Петербург",55.2,10/16,2255,5500000,2,16,1985,59.952191,30.485901
"Санкт-Петербург, Исполкомская улица, 3, Смольнинское, Санкт-Петербург",112.9,6/7,3800,27390000,3,7,2004,59.926643,30.379756
"Санкт-Петербург, посёлок Парголово, улица Николая Рубцова, 5, Парголово, Санкт-Петербург",26.0,20/27,4629,3100000,0,28,2018,60.075986,30.343797
"Александровской Фермы проспект, 2, Обуховский округ, Санкт-Петербург",63.0,8/25,38,7950000,2,18,1991,59.864101,30.454056
"Богатырский пр-кт, 25к1, № 65, Санкт-Петербург",30.0,12/13,3083,5250000,0,14,2005,60.008698,30.202132
"Россия, Санкт-Петербург, Петроградский р-н, метро Новокрестовская, Пионерская ул., 50, Петровский округ, Санкт-Петербург",117.0,7/16,1512,19289000,3,14,2012,59.95962,30.269632
"Санкт-Петербург, Большой проспект Васильевского острова, 84, № 7, Санкт-Петербург",101.2,7/10,678,19200000,3,11,2016,59.939487,30.290024
"Санкт-Петербург, проспект Ударников, 38, Пороховые, Санкт-Петербург",95.0,9/15,5361,6500000,5,15,1982,59.953664,30.477412
"Санкт-Петербург, Русановская улица, 17к1, Народный, Санкт-Петербург",80.0,3/25,2256,8400000,2,23,2013,59.864851,30.511108
"Санкт-Петербург, посёлок Парголово, Заречная улица, 33, Парголово, Санкт-Петербург",35.0,3/25,4633,4050000,1,27,2017,60.080932,30.333035
"Белышева ул, 4, Невский округ, Санкт-Петербург",65.8,5/9,3801,5500000,3,9,1978,59.913496,30.453751
"Санкт-Петербург, Пулковская улица, 2к1, Звёздное, Санкт-Петербург",168.0,11/16,39,15700000,4,16,2009,59.841844,30.349366
"Санкт-Петербург, Купчинская улица, 17к1, Георгиевский, Санкт-Петербург",30.0,9/9,1514,3500000,1,9,1974,59.838051,30.386853
"Санкт-Петербург, Приморский проспект, 62к1, № 65, Санкт-Петербург",90.2,11/13,3090,13480000,3,13,2017,59.983067,30.26859
"Санкт-Петербург, проспект Испытателей, 8к1, Комендантский аэродром, Санкт-Петербург",90.0,16/16,679,13499000,3,,,60.003669,30.288802
"Санкт-Петербург, Южное шоссе, 55к3, № 75, Санкт-Петербург",83.0,2/24,5362,9750000,3,25,2015,59.862967,30.411925
"Санкт-Петербург, улица Латышских Стрелков, 11к1, Правобережный, Санкт-Петербург",55.0,1/12,2257,5575000,2,12,1986,59.928411,30.463111
"Туристская ул, 24, № 65, Санкт-Петербург",39.8,3/12,4634,5700000,1,16,2011,60.000393,30.208034
"Санкт-Петербург, Долгоозёрная улица, 14, Юнтолово, Санкт-Петербург",50.0,9/18,3803,6500000,1,18,2004,60.017423,30.246374
"Реки Фонтанки наб, 28, Литейный округ, Санкт-Петербург",78.2,3/5,43,22500000,2,5,1831,59.939086,30.343213
"ул третья Советская, 22, Смольнинское, Санкт-Петербург",77.0,4/5,681,14800000,3,4,1895,59.932468,30.369668
"Санкт-Петербург, Фермское шоссе, 20к1, Комендантский аэродром, Санкт-Петербург",58.2,17/17,3091,12240000,2,16,2013,60.014185,30.311386
"Бойцова переулок, 6, Сенной округ, Санкт-Петербург",60.0,1/6,1520,7250000,2,6,1849,59.921547,30.310667
"Санкт-Петербург, Искровский проспект, 9, Невский округ, Санкт-Петербург",50.0,2/9,5363,4950000,2,,,59.910623,30.459967
"Кемская ул, 1, Чкаловское, Санкт-Петербург",137.8,6/8,2262,51500000,3,9,2007,59.973221,30.259571
"Санкт-Петербург, Русановская улица, 11, Народный, Санкт-Петербург",63.8,2/23,3804,5749999,2,23,2013,59.863513,30.505943
"Парголово п, Михаила Дудина ул, 23к1, Парголово, Санкт-Петербург",78.3,24/25,45,8150000,3,26,2011,60.069616,30.329756
"Санкт-Петербург, Рыбацкий проспект, 35, Рыбацкое, Санкт-Петербург",51.0,15/16,4636,5900000,2,16,1990,59.839665,30.508099
"Санкт-Петербург, посёлок Парголово, улица Валерия Гаврилина, 3к2, Парголово, Санкт-Петербург",40.0,9/25,682,4800000,1,27,2012,60.073167,30.332011
"Санкт-Петербург, улица Лёни Голикова, 29к8, Дачное, Санкт-Петербург",115.2,22/23,3095,14980000,3,23,2005,59.84131,30.225336
"Санкт-Петербург, Бестужевская улица, 45, Полюстрово, Санкт-Петербург",45.8,2/5,1521,4500000,2,5,1963,59.978512,30.424304
"Санкт-Петербург, Загребский бульвар, 9, Георгиевский, Санкт-Петербург",51.0,22/23,2264,7500000,1,9,1979,59.844985,30.398756
"Санкт-Петербург, Народная улица, 71, Народный, Санкт-Петербург",30.3,2/5,4637,3300000,1,5,1962,59.883142,30.482497
"Санкт-Петербург, Мытнинская набережная, 7/5, Введенский, Санкт-Петербург",180.0,6/6,5364,60000000,4,7,2012,59.948429,30.304199
"Варшавская ул, 6к2, Московская застава, Санкт-Петербург",42.1,10/15,3805,8850000,1,16,2016,59.879353,30.315266
"Санкт-Петербург, Ленинский проспект, 53к1, Южно-Приморский округ, Санкт-Петербург",43.4,17/17,46,3950000,1,17,2013,59.863093,30.169721
"Санкт-Петербург, Пискарёвский проспект, 9к3, Полюстрово, Санкт-Петербург",29.5,1/5,3097,3390000,1,5,1966,59.963593,30.411997
"Ленинградская область, Всеволожский район, посёлок Мурино, проспект Авиаторов Балтики, 11/1, Санкт-Петербург",23.4,8/12,685,2400000,0,12,2018,60.055111,30.440159
"Санкт-Петербург, улица Турку, 28к1, № 72, Санкт-Петербург",56.0,4/5,1523,4550000,3,5,1966,59.868035,30.386107
"Санкт-Петербург, Русановская улица, 19к1, Народный, Санкт-Петербург",29.4,19/23,5368,3050000,0,23,2013,59.864887,30.512366
"посёлок Мурино, Всеволожский район, Ленинградская область, Охтинская аллея, 2, Санкт-Петербург",31.0,20/22,4638,3400000,1,23,2015,60.048966,30.436188
"Санкт-Петербург, Смольный проспект, 17, Смольнинское, Санкт-Петербург",80.0,5/7,3806,13900000,2,10,2017,59.944292,30.39651
"Санкт-Петербург, Комендантский проспект, 50к1, Юнтолово, Санкт-Петербург",44.8,7/7,49,4900000,1,10,2001,60.028568,30.233744
"Санкт-Петербург, Херсонская улица, 1/7, Смольнинское, Санкт-Петербург",171.0,5/6,2268,20500000,5,6,1906,59.92984,30.376163
"Санкт-Петербург, проспект Маршака, 24к1, Полюстрово, Санкт-Петербург",33.0,17/19,692,3650000,1,19,2016,60.027004,30.453068
"Санкт-Петербург, проспект Пятилеток, 16к2, подъезд 1, Правобережный, Санкт-Петербург",79.0,8/14,3098,9500000,3,16,1991,59.923396,30.450409
"посёлок Мурино, Всеволожский район, Ленинградская область, Охтинская аллея, 8, Санкт-Петербург",30.7,5/15,1525,3300000,0,25,2016,60.048373,30.433386
"Санкт-Петербург, Выборгское шоссе, 17к4, Шувалово-Озерки, Санкт-Петербург",64.0,5/21,4640,9965000,2,23,2008,60.05499,30.311484
"Санкт-Петербург, Дунайский проспект, 7к7, Звёздное, Санкт-Петербург",64.0,3/9,5370,8950000,2,23,2013,59.826302,30.332478
"Октябрьская наб, 70к4, Народный, Санкт-Петербург",93.1,5/9,2269,11200000,3,9,1998,59.875741,30.460497
"ул. Маршала Тухачевского, д. 23, Полюстрово, Санкт-Петербург",54.2,12/16,50,5325000,1,16,2017,59.968263,30.428346
"Большевиков пр-кт, 11к2, Невский округ, Санкт-Петербург",37.7,4/15,3808,5200000,1,15,2012,59.911367,30.476846
"Типанова ул, 38, Гагаринское, Санкт-Петербург",53.6,8/14,3100,6550000,1,14,,59.852814,30.360919
"посёлок Мурино, Всеволожский район, Ленинградская область, Охтинская аллея, 16, Санкт-Петербург",24.5,2/24,693,2690000,0,24,2016,60.049792,30.426487
"Санкт-Петербург, проспект Энтузиастов, 54к1, Ржевка, Санкт-Петербург",40.0,6/12,1528,4200000,1,,,59.953056,30.493708
"Санкт-Петербург, набережная реки Смоленки, 3к2, Остров Декабристов, Санкт-Петербург",50.1,9/10,5373,9300000,1,11,2015,59.94969,30.262796
"Санкт-Петербург, ул.Шелгунова, д. 8, Обуховский округ, Санкт-Петербург",46.0,4/5,52,3900000,2,5,1961,59.866739,30.461395
"Санкт-Петербург, проспект Наставников, 3к1, Пороховые, Санкт-Петербург",39.0,11/12,3809,5499000,1,13,2006,59.936733,30.489234
"Санкт-Петербург, проспект Энгельса, 97, Светлановское, Санкт-Петербург",203.0,24/25,3101,33990000,5,25,2004,60.025992,30.320324
"Наличная ул, 36к6, Морской, Санкт-Петербург",52.0,4/12,2270,6600000,2,,,59.946743,30.220961
"Большой Сампсониевский д. 4, Сампсониевское, Санкт-Петербург",145.0,22/23,1529,27500000,3,23,2008,59.957354,30.343914
"Моравский пер, 7к1, № 75, Санкт-Петербург",39.0,3/12,694,4650000,1,12,1983,59.838164,30.420171
"Санкт-Петербург, Пушкин, бульвар Алексея Толстого, 19, Пушкин, Санкт-Петербург",55.0,1/5,5374,6000000,3,5,1965,59.724437,30.416533
"Санкт-Петербург, Санкт-Петербург г., Чкаловская, Петроградский, Ждановская ул. д. 45, Петровский округ, Санкт-Петербург",124.3,3/10,4644,24900000,2,15,2017,59.955002,30.28316
"Санкт-Петербург, 27-я линия В.О., 10, № 7, Санкт-Петербург",46.0,3/5,54,5970000,2,5,1897,59.927869,30.259831
"Санкт-Петербург, Ланское шоссе, 3к2, Чёрная речка, Санкт-Петербург",80.1,3/5,3810,10990000,3,5,1958,59.98859,30.30348
"Россия г Санкт-Петербург, ул Гранитная, д. 8, Малая Охта, Санкт-Петербург",74.4,4/5,5381,7000000,3,,,59.918783,30.418033
