area,floor,floors_total,latitude,longitude,price,rooms,year
44.0,1,5,53.242732,50.238201,2150000,2,1968
34.5,2,3,53.327493,50.31543900000001,1590000,1,2014
46.0,4,12,53.23526800000001,50.211054,2650000,2,1970
76.6,2,5,53.123685,50.09413,3200000,4,1974
50.0,3,9,53.24155699999999,50.209285,3100000,2,1977
48.0,12,18,53.186339,50.134868,2641100,1,2016
58.0,1,5,53.229473,50.274978,2850000,3,1968
62.6,5,5,53.228692,50.271664,2700000,3,1977
85.0,1,16,53.214453000000006,50.131904,7900000,3,1977
45.0,5,9,53.250103,50.209518,2899000,2,1986
100.0,3,9,53.201364,50.123424,7300000,2,2015
60.0,7,9,53.25741899999999,50.228518,3580000,3,1979
55.0,5,5,53.342156,50.217666,2700000,3,1977
22.0,8,9,53.209352,50.143788,1947000,1,1975
30.0,8,9,53.194125,50.218888,1650000,2,1991
46.0,1,5,53.239078000000006,50.223047,2500000,2,1967
44.0,2,2,53.347258,50.209896,1690000,2,1959
60.8,3,5,53.200075,50.22461,3800000,4,1978
23.0,2,5,53.22240600000001,50.231994,1300000,1,1972
39.0,1,10,53.306503,50.28680900000001,1930000,1,0
32.0,5,5,53.21046800000001,50.171475,2150000,1,1962
77.0,3,9,53.214329000000006,50.159123,4500000,3,1986
62.0,4,9,53.253686,50.230979,3500000,3,1971
44.3,4,27,53.215769,50.261701,1904900,1,0
87.0,3,9,53.18301,50.099816,5850000,2,2004
40.0,5,16,53.146748,50.077151,2150000,1,0
34.0,9,9,53.234492,50.28009,2000000,1,1972
127.0,1,3,53.191228,50.110569,4690000,3,1917
125.0,2,10,53.233403,50.25367,6600000,3,2007
44.3,8,18,53.209071,50.207659,3000000,1,2010
72.0,4,4,53.215348,50.253212,3590000,3,1954
42.2,1,3,53.22190500000001,50.231617,2150000,2,1962
33.0,9,10,53.18715400000001,50.197472,2600000,1,1966
70.0,1,9,53.199034,50.143249,3880000,3,1976
44.0,4,5,53.235085,50.24431,2700000,2,1967
49.0,1,3,53.20135300000001,50.288094,2000000,1,1972
366.0,4,9,53.235963,50.24625,2000000,1,1980
23.0,5,5,53.237963,50.23539,1150000,2,1971
29.0,5,9,53.22957099999999,50.209922,2100000,1,1968
31.0,2,5,53.487182,49.847264,1100000,1,1968
52.0,1,5,53.486844,49.851611,1850000,3,1966
68.0,5,12,53.241363,50.192854,4450000,2,1987
62.6,1,5,53.252312,50.238273,3050000,3,1970
34.1,2,2,53.138332,50.2383,1149000,1,1980
59.8,9,9,53.245114,50.235282,3450000,3,1974
68.3,2,4,53.24611,50.061296,3800000,3,1975
85.0,9,10,53.236335,50.256563,5300000,4,1992
44.0,3,5,53.23928299999999,50.279353,2800000,2,1960
17.0,3,5,53.210242,50.220945,950000,1,1973
34.0,5,10,53.209913,50.284537,1900000,1,1981
108.2,4,12,53.189533,50.118429,7900000,3,2001
30.0,1,2,53.224902,50.263956,1400000,1,0
100.0,4,6,53.180878,50.078481,8700000,4,1917
43.1,2,4,53.184974,50.089342,2200000,2,1917
34.1,4,5,53.107184,50.084661,1550000,1,1994
72.0,1,2,53.18816800000001,50.127484,2800000,3,1950
43.5,2,9,53.235726,50.230548,2550000,2,1969
60.0,7,9,53.25731700000001,50.229631,3400000,3,1979
57.5,9,12,53.201186,50.144875,3700000,2,1979
31.0,9,9,53.24423,50.22399,1950000,1,1979
78.0,1,5,53.154362,50.089404,3600000,4,1979
90.0,2,10,53.230918,50.247283,5200000,3,2011
31.0,2,3,53.319619,50.314477,1330000,1,1964
34.0,9,9,53.22446,50.271457,1950000,1,1984
56.6,6,12,53.20748,50.21690200000001,3699000,2,1994
33.3,7,12,53.199735,50.151855,2200000,1,1979
97.0,12,16,53.247328,50.188641,5650000,3,2004
73.0,6,17,53.262278,50.222786,4990000,2,2014
60.0,15,16,53.254074,50.201712,5600000,2,2013
53.7,2,10,53.182497,50.208377,2850000,2,2002
30.0,1,5,53.253513,50.237402,1900000,1,1970
44.0,6,9,53.200787,50.13789600000001,2780000,2,1977
213.0,3,7,53.19755600000001,50.112329,20500000,4,2002
54.0,7,10,53.112649,50.085191,1800000,2,1995
38.0,12,16,53.194114,50.181051,2500000,1,1971
46.0,3,19,53.209282,50.207802,2750000,1,2010
76.5,9,10,53.142049,50.040294,3200000,2,2011
50.2,4,9,53.224153,50.150202,3750000,1,1
46.0,8,10,53.214426,50.157721,2980000,1,1989
41.1,1,9,53.24105,50.222238,2200000,2,1968
50.8,11,12,53.239396,50.276407,2649000,1,2001
42.8,1,5,53.19618000000001,50.183332,2400000,2,1963
55.0,4,5,53.21406,50.170433,2700000,2,0
42.7,8,9,53.214469,50.222957,1800000,2,1987
55.0,4,4,53.237143,50.27647,2900000,3,1960
45.0,3,5,53.1916,50.209312,2190000,2,1964
58.0,1,5,53.188816,50.205413,2650000,3,1964
80.0,11,20,53.261437,50.213641,5700000,2,2007
29.3,5,5,53.21644300000001,50.239342,1650000,1,1979
47.0,2,2,53.188087,50.100544,1400000,3,1
46.0,11,12,53.207874,50.206787,2950000,1,2011
38.0,1,3,53.323873,50.312717,1550000,1,2013
46.0,3,3,53.314713,50.311513,2500000,2,2013
78.6,3,19,53.256061,50.19948400000001,5690000,3,2014
43.5,5,5,53.220384,50.26843,2500000,2,1963
150.0,7,9,53.192226,50.110829,14000000,4,2007
68.0,7,9,53.26315,50.234258,3450000,3,1980
74.0,3,5,53.247797,50.267657,3100000,4,1974
152.1,10,25,53.200129,50.10702,21000000,5,0
55.0,4,14,53.25831899999999,50.218654,3600000,2,2016
74.0,3,10,53.112649,50.085191,3050000,3,1995
56.0,1,5,53.48562800000001,49.848449,2100000,3,1964
52.6,5,5,53.212091,50.166363,3000000,2,1977
43.0,1,5,53.142805,50.04412,2200000,2,1977
72.0,24,25,53.240964,50.186476,4250000,2,2015
68.0,4,5,53.11753,50.161171,4000000,3,2014
72.5,1,5,53.228465,50.279847,2590000,2,0
79.8,5,5,53.17766700000001,50.077017,3000000,2,1
53.0,20,22,53.217613,50.16897700000001,4000000,1,2013
28.0,6,7,53.114319,50.148217,1850000,1,2016
49.6,2,3,53.326283,50.313148,1900000,2,2011
31.9,3,3,53.18901,50.098028,2100000,1,1888
60.0,1,5,53.14509,50.041048,1899000,3,1965
45.0,2,3,53.319172,50.309025,2200000,2,2011
47.0,4,5,53.34135,50.227529,2200000,2,1972
71.0,4,4,53.215575,50.251622,3200000,3,1967
57.1,3,3,53.186005,50.096456,4800000,2,1917
54.0,1,12,53.235095,50.054667,3500003,3,1972
48.0,5,18,53.222579,50.189683,2750000,1,2016
57.2,5,22,53.222039,50.153454,4897000,1,2014
62.8,1,5,53.10941700000001,50.079775,2450000,4,1968
50.3,12,12,53.251127,50.25007700000001,2650000,2,1979
33.0,2,9,53.243093,50.233952,2150000,1,1972
69.3,9,12,53.255076,50.227574,3600000,3,1982
64.0,8,9,53.244785,50.185354,4300000,2,2012
108.0,4,9,53.215343,50.164567,7800000,4,2007
44.0,1,5,53.346661,50.2095,1850000,2,0
48.0,4,5,53.190931000000006,50.210165,2290000,2,1964
46.5,4,14,53.276495,50.263058,2300000,1,2011
43.7,2,3,53.316875,50.312447,2150000,2,2012
50.0,16,16,53.229765,50.19377100000001,3600000,1,2012
96.0,16,19,53.223802,50.193699,6900000,3,2009
53.0,5,16,53.244979,50.189576,3500000,1,2006
52.9,9,9,53.245297,50.216705,3350000,2,1974
36.0,1,5,53.115827,50.15729,1600000,1,2014
66.5,8,10,53.276495,50.263058,5550000,2,2011
85.0,3,9,53.24146500000001,50.211342,5300000,4,1976
42.7,2,3,53.484229000000006,49.851405,1300000,2,1961
35.0,13,16,53.154827,50.075966,1950000,1,2014
45.0,1,5,53.2364,50.244247,2700000,2,1967
50.0,7,10,53.213693000000006,50.167109,3500000,2,1
81.0,1,9,53.190737,50.13724000000001,4900000,4,1988
81.8,8,9,53.193386,50.113057,7100000,2,1995
29.0,3,3,53.32568000000001,50.317783,1447000,1,2014
22.6,9,9,53.21009100000001,50.279111,1300000,1,1976
80.0,2,9,53.237731,50.223559,5990000,3,1978
49.9,4,4,53.259811,50.189423,3993200,1,2017
74.0,11,12,53.251746,50.245074,3500000,3,1985
21.0,3,9,53.209745,50.278293,1230000,1,1975
46.0,3,3,53.37323000000001,50.372571,2300000,2,2013
48.7,6,25,53.221651,50.168429,3100000,1,0
30.0,2,3,53.315574,50.30951,1450000,1,2012
50.0,15,16,53.20942700000001,50.206724,3450000,2,2010
30.0,5,5,53.12042099999999,50.087752,1150000,1,1969
47.0,1,5,53.21400600000001,50.172139,2500000,2,1974
44.5,11,27,53.215769,50.261701,2245020,1,0
66.0,16,20,53.261437,50.213641,6000000,2,2007
56.2,3,7,53.187359,50.099978,4000000,2,1
38.0,1,9,53.110946,50.144606,1700000,1,1968
36.0,8,16,53.154827,50.075966,1950000,1,2014
38.0,3,10,53.37375600000001,50.186476,1900000,1,1974
24.0,2,5,53.25229,50.234698,1250000,1,1969
70.0,10,10,53.188384,50.139342,5100000,3,1991
87.0,10,18,53.219921,50.245577,7000000,3,2009
47.0,5,10,53.309537,50.286827,2550000,1,0
58.0,1,2,53.15747800000001,50.087994,1650000,3,1961
22.0,5,5,53.203964,50.231572,1300000,1,1962
50.0,2,5,53.25164399999999,50.37682,2350000,2,1981
140.5,4,9,53.18520600000001,50.081499,14700000,3,2008
72.0,4,9,53.211142,50.140626,6700000,3,1974
57.0,3,8,53.195214,50.163381,2400000,2,1977
39.0,17,24,53.19210699999999,50.134069,2999000,1,2017
41.0,2,6,53.19073100000001,50.202619,3100000,1,1964
57.0,4,22,53.216826,50.162761,4100000,1,2008
43.0,1,5,53.194848,50.209428,2620000,2,1965
58.5,8,16,53.235095,50.054667,3180000,1,1
169.0,11,12,53.191643000000006,50.088794,12300000,4,1
93.0,6,18,53.222239,50.244723,5300000,3,1
31.0,3,9,53.11036800000001,50.139333,1800000,1,2017
64.8,7,9,53.30079300000001,50.275347,3200000,3,0
150.0,2,5,53.19789,50.103095,19500000,4,1962
44.0,1,5,53.229549,50.273191,2100000,2,1969
36.6,9,10,53.391454,50.168519,1550000,1,0
42.0,3,5,53.215887,50.23442,2100000,2,1962
41.0,3,10,53.307208,50.289235,2200000,1,2017
57.7,5,5,53.18219499999999,50.152646,3950000,3,1955
55.0,8,10,53.351999,50.2141,2500000,2,0
56.3,2,9,53.209158,50.126658,4450000,2,1975
44.6,1,10,53.142049,50.040294,1950000,1,2011
33.0,6,9,53.486775,49.854953,760000,1,1977
63.0,5,9,53.34984300000001,50.21100000000001,3300000,3,1985
85.0,5,10,53.192798,50.112114,8500000,2,1917
29.8,1,3,53.316187,50.306698,1350000,1,2012
49.3,9,12,53.25999399999999,50.22708,2890000,2,1981
53.0,7,11,53.185368,50.109715,4300000,2,1991
34.0,1,9,53.195565,50.161162,1650000,1,1978
63.0,3,5,53.232729000000006,50.256788,3270000,3,1972
46.0,3,5,53.30166,50.270217,2000000,2,1966
32.0,5,5,53.116984,50.160731,1700000,1,2014
44.0,8,9,53.227296,50.248316,2500000,2,1979
56.0,5,12,53.26483100000001,50.231186,3350000,2,1981
59.7,2,17,53.235095,50.054667,4250000,1,2006
88.0,10,16,53.216303,50.244687,5600000,3,2010
58.0,3,5,53.244699,50.22558,2850000,3,1969
40.0,1,4,53.187926,50.101631,2690000,2,1941
57.7,9,9,53.20701700000001,50.13939600000001,4400000,3,1974
48.0,6,17,53.223711,50.192244,2800000,1,2013
110.0,8,9,53.188141,50.083682,7500000,2,1
33.0,2,5,53.116789,50.156131,1950000,1,2014
35.0,3,5,53.185805,50.193897,1750000,1,1981
34.6,2,3,53.318624,50.312303,1550000,1,2012
70.9,10,12,53.188417,50.131616,6150000,2,2007
73.0,2,2,53.188476,50.102619,1950000,5,1888
53.0,6,10,53.104643,50.031643,1300000,2,1990
33.5,5,9,53.251779000000006,50.227592,2350000,1,1971
53.0,9,9,53.11039,50.143842,3700000,2,2017
38.0,1,3,53.31130200000001,50.311387,1550000,1,2014
72.0,6,16,53.248029,50.193169,4200000,2,2009
79.0,6,10,53.220605000000006,50.199978,3999000,3,1999
41.0,15,22,53.203419,50.183961,3250000,2,2014
56.0,2,2,53.100042,50.031301,1250000,3,1953
44.0,5,9,53.239994,50.214881,2800000,2,1976
50.0,11,17,53.197291,50.153724,3550000,1,2012
60.0,8,18,53.241455,50.187015,4800000,2,2015
33.0,1,9,53.112692,50.143357,1700000,1,2015
72.0,14,17,53.225145,50.152143,4100000,3,1926
33.0,2,5,53.347801,50.222122,1600000,1,1969
191.5,7,10,53.194416,50.108449,12500000,4,1999
52.0,7,16,53.229765,50.19377100000001,4000000,2,2012
45.0,2,2,53.24849200000001,50.077268,2700000,1,2009
62.6,11,16,53.24451,50.195864,5700000,3,2013
95.0,9,10,53.19341800000001,50.14227,5900000,4,1998
43.0,14,16,53.23005600000001,50.181949,3500000,1,2008
67.0,7,9,53.264691000000006,50.222912,4120000,3,1984
47.2,5,16,53.198386,50.127754,4200000,1,2011
84.0,1,5,53.108622,50.085111,3500000,3,2002
74.0,4,10,53.220605000000006,50.199978,3700000,3,1999
33.4,2,3,53.32063,50.312366,1400000,1,2011
77.2,1,5,53.234271,50.298622,2000000,3,1979
58.0,14,16,53.24784,50.190151,3990000,1,2003
64.3,17,17,53.259843,50.221717,5000000,1,2012
39.0,9,10,53.308838,50.287582,1850000,1,2015
78.0,8,23,53.203656,50.12407,7800000,3,2013
81.1,4,16,53.151079,50.075499,3200000,2,2017
41.5,6,16,53.252764,50.212069,3070000,1,2014
50.0,1,5,53.48980200000001,49.851531,1750000,3,1977
59.0,1,10,53.351999,50.2141,2500000,2,0
40.0,14,22,53.203419,50.183961,3150000,1,2014
48.5,9,16,53.20942700000001,50.206724,2990000,1,2010
27.0,2,3,53.18460699999999,50.08724,1650000,1,1870
55.0,2,9,53.225808,50.24422,2850000,3,1975
63.0,5,5,53.20216800000001,50.134123,3800000,3,1973
34.0,5,9,53.228347,50.266301,2300000,1,1974
54.0,1,4,53.20604599999999,50.231365,2670000,2,1958
50.0,3,5,53.186744,50.123046,3050000,2,1965
31.0,4,5,53.14509,50.041048,1250000,1,1965
21.0,9,9,53.238582,50.282713,1400000,1,1975
36.0,1,2,53.24849200000001,50.077268,1700000,1,1980
45.9,9,9,53.237354,50.215375,2800000,2,1971
63.5,2,9,53.250577,50.266274,3651250,3,1975
350.0,10,11,53.201326,50.11604000000001,35000000,4,1985
33.6,3,3,53.318785,50.312672,1400000,1,2012
32.0,1,2,53.14056899999999,50.022606,850000,1,1
44.0,2,3,53.320157,50.311216,2350000,2,2011
39.0,3,9,53.210554,50.153886,3080000,1,1989
49.0,1,3,53.325965,50.315816,2350000,2,2013
47.0,1,9,53.19723199999999,50.137905,2980000,2,0
59.0,4,4,53.347957,50.222993,2300000,3,1960
47.4,3,5,53.191562,50.171097,2800000,2,1986
53.0,1,9,53.247689,50.259869,2390000,3,1972
37.0,2,24,53.22692900000001,50.191462,2990000,1,2017
50.4,5,12,53.24520500000001,50.231248,3000000,2,1977
62.0,1,5,53.208149,50.169067,2800000,2,1959
45.1,1,5,53.231489,50.25491,2150000,2,1974
36.4,3,3,53.306707,50.313911,1660000,1,2016
59.5,5,9,53.24105600000001,50.229057,2800000,3,1
68.0,5,9,53.244553,50.060649,3750000,3,1972
56.0,6,9,53.24146500000001,50.211342,3350000,3,1976
31.3,5,5,53.225102,50.262869,1680000,1,1968
30.0,2,5,53.253675,50.234725,1800000,1,1970
60.2,11,16,53.198203,50.144175,4290000,2,1993
40.8,2,5,53.230212,50.27515800000001,2200000,2,1968
42.0,8,24,53.220886,50.192872,2550000,1,1963
70.0,6,9,53.26608,50.221636,4499000,3,1985
64.0,9,9,53.342828,50.223541,2780000,3,1978
84.0,2,5,53.189026,50.106706,7000000,3,1997
43.5,1,2,53.193197,50.129227,2000000,2,1
54.0,5,5,53.296418,50.291876,2600000,2,1998
52.0,1,2,53.358679,50.210857,2240000,2,0
47.0,2,2,53.230066,50.252251,1500000,2,1950
45.0,3,5,53.19405500000001,50.209851,2700000,2,1964
43.0,5,5,53.190127,50.208674,2400000,2,1964
34.2,1,9,53.266893,50.227017,2000000,1,1982
73.0,25,25,53.201008,50.126613,7500000,2,2014
84.0,3,10,53.276856,50.262222,4700000,3,2009
78.6,4,9,53.194378,50.12142,6200000,3,1992
66.0,12,16,53.18179,50.094893,5900000,2,2008
50.0,2,19,53.186339,50.134868,2500000,1,2016
150.0,10,12,53.19536,50.114342,9900000,3,2010
30.0,5,5,53.34843000000001,50.222436,1899000,1,1
58.5,3,5,53.240242,50.233117,2600000,3,1967
56.4,5,12,53.19147,50.139072,3800000,2,1989
42.9,4,6,53.241562,50.220954,2750000,2,1966
62.0,7,9,53.34280699999999,50.221807,3400000,3,1980
35.0,2,3,53.32063,50.312366,1550000,1,2011
38.0,2,3,53.287225,50.220523,2150000,1,2015
45.0,3,4,53.235284,50.288265,2050000,2,1965
47.2,4,5,53.22673,50.296484,2180000,2,1984
106.1,8,10,53.1968,50.112608,7500000,3,1999
30.5,5,5,53.193359,50.209662,1847000,1,1964
78.0,2,2,53.344591,50.21127,950000,1,1939
55.4,2,3,53.313174,50.311513,2600000,2,2013
42.0,6,10,53.267001,50.221493,3000000,1,2006
55.0,10,10,53.208225,50.216804,3499000,2,1994
23.0,5,5,53.241703,50.237797,1250000,1,1970
37.0,2,9,53.239159,50.236198,2250000,1,1976
40.0,7,19,53.24150899999999,50.185524,2900000,1,0
52.0,5,5,53.516446,50.137752,2200000,2,1975
31.0,3,5,53.296967,50.288561,1420000,1,0
67.0,4,9,53.192868,50.1428,3650000,3,1984
32.0,1,4,53.482986,49.855286,810000,1,1962
43.0,4,5,53.212835,50.209177,2300000,2,1969
30.0,5,5,53.38952,50.16674,1400000,1,1962
43.0,5,5,53.19873199999999,50.166435,2350000,2,1965
