adress,area,floor,price,rooms,floors_total,year,latitude,longitude
"Самара, улица Мичурина, 141А, Октябрьский, Самара, Самарская область",38.0,2/5,2690000,2,5.0,1969.0,53.213213,50.162617
"Самара, Краснодонская улица, 95, Кировский, Самара, Самарская область",90.4,6/15,6200000,3,15.0,2007.0,53.230207,50.245729
"Самара, Ленинская улица, 166, Ленинский, Самара, Самарская область",90.0,4/9,8900000,3,1.0,1917.0,53.194529,50.110587
"Самара, Аэродромная улица, 57, подъезд 3, Советский, Самара, Самарская область",46.0,1/5,2350000,2,5,1963,53.191201,50.194058
"ул Ставропольская, 74, Промышленный, Самара, Самарская область",85.0,10/11,5000000,4,9.0,1990.0,53.218449,50.22355
"Самара, проспект Кирова, 329, Кировский, Самара, Самарская область",31.4,4/9,2050000,1,9.0,1983.0,53.250351,50.229838
"Самара, улица Стара Загора, 241, Кировский, Самара, Самарская область",55.1,4/12,3250000,2,12.0,1975.0,53.246859,50.242019
"Самара, Лесная улица, 31, Октябрьский, Самара, Самарская область",206.0,10/18,24000000,4,18,2004,53.222746,50.051981
"Самара, Центральная улица, 1, Октябрьский, Самара, Самарская область",45.0,5/16,3590000,1,3,1963,53.219414,50.190366
"Самара, улица Зои Космодемьянской, 17, Промышленный, Самара, Самарская область",15.8,1/12,1150000,1,12.0,1981.0,53.261771,50.226811
"Самарская область, Волжский район, жилой район Южный Город - 1, Земская улица, 17, Самара, Самарская область",54.0,7/9,3400000,2,10,2015,53.11353,50.143223
"Самара, улица Победы, 149, Кировский, Самара, Самарская область",32.0,5/5,2300000,1,5.0,1963.0,53.160766,50.374575
"Самара, Ново-Вокзальная улица, 167, Промышленный, Самара, Самарская область",84.0,9/10,5150000,3,10.0,2001.0,53.234432,50.223541
"Чапаевская ул, 205, Ленинский, Самара, Самарская область",92.0,18/24,12500000,2,24.0,2007.0,53.200102,50.103149
"ул. Финская, д. 96, Октябрьский, Самара, Самарская область",170.3,5/6,8500000,5,6.0,1.0,53.228816,50.184662
"Самара, улица Мориса Тореза, 14, Железнодорожный, Самара, Самарская область",44.9,2/5,2450000,2,5,1965,53.196865,50.163354
"Самара, Демократическая улица, 8, Промышленный, Самара, Самарская область",40.6,4/9,2400000,1,10.0,1992.0,53.262919,50.212887
"Самара, улица Дзержинского, 10, Железнодорожный, Самара, Самарская область",47.5,2/5,2700000,2,5.0,1964.0,53.194459,50.175095
"микрорайон Крутые Ключи, Красноглинский район, Самара, улица Евгения Золотухина, 22, подъезд 2, Красноглинский, Самара, Самарская область",47.0,3/3,2199000,2,3,2012,53.317408,50.309878
"Самара, Московское шоссе, 129, Промышленный, Самара, Самарская область",67.0,11/12,3300000,3,12,1978,53.239682,50.207515
"Самара, улица Победы, 151, Кировский, Самара, Самарская область",56.2,3/5,2800000,3,5.0,1963.0,53.160766,50.374575
"Центральная улица, 2, Самара, Самарская область",42.0,1/2,1050000,2,2.0,1963.0,53.139991,50.147786
"Самара, улица Фрунзе, 14, Самарский, Самара, Самарская область",65.0,6/8,4900000,1,8.0,2012.0,53.179923,50.086
"Самара, улица 22 Партсъезда, 4, Советский, Самара, Самарская область",45.6,2/3,2150000,2,3,1959,53.205841,50.2353
"Самара, улица Г.С. Аксакова, 23, Ленинский, Самара, Самарская область",29.4,2/5,2350000,1,5.0,1973.0,53.195603,50.13273
"Самара, проспект Карла Маркса, 358, Промышленный, Самара, Самарская область",31.0,3/5,2500000,1,5,1967,53.237337,50.236495
"городской округ Самара, поселок Берёза, 3-й квартал, 2, Красноглинский, Самара, Самарская область",12.7,2/5,450000,1,5.0,1968.0,53.51567,50.142064
"Самара, посёлок Соцгород, Пугачевский тракт, 37, Куйбышевский, Самара, Самарская область",55.0,5/5,2170000,3,5,1973,53.124652,50.094094
"Самара, улица Стара Загора, 135, Промышленный, Самара, Самарская область",58.0,5/5,2627000,3,5.0,1967.0,53.234147,50.219498
"посёлок Соцгород, Самара, Пугачевский тракт, 72, Куйбышевский, Самара, Самарская область",42.3,5/5,1790000,2,5.0,1961.0,53.120713,50.086638
"Самара, улица Стара Загора, 141, Промышленный, Самара, Самарская область",32.5,6/9,1950000,1,9,1977,53.236135,50.224233
"Самара, Техническая улица, 1А, Кировский, Самара, Самарская область",50.0,4/5,2550000,2,5.0,1990.0,53.26608,50.24272
"Самара, улица Санфировой, 84А, Советский, Самара, Самарская область",64.0,1/2,2980000,3,2.0,1959.0,53.215532,50.198756
"Самара, улица Тополей, 9, Промышленный, Самара, Самарская область",35.0,7/9,2100000,1,9,1981,53.264416,50.229578
"ул Бакинская,7 ,Куйбышевский район, Куйбышевский, Самара, Самарская область",71.0,6/9,2990000,3,9.0,1991.0,53.117578,50.070567
"Самара, улица 22 Партсъезда, 32, Советский, Самара, Самарская область",47.0,3/5,2400000,2,5.0,1961.0,53.210813,50.227817
"Россия, Самарская область, Самара, Партизанская ул, 62, Железнодорожный, Самара, Самарская область",49.0,5/9,2600000,3,9,1975,53.194411,50.163632
"микрорайон Крутые Ключи, Красноглинский район, Самара, улица Виталия Жалнина, 11, Красноглинский, Самара, Самарская область",34.0,1/3,1499000,1,3.0,2013.0,53.312642,50.310785
"Самарская область,Самара,Промышленный район,Карла Маркса проспект,356, Промышленный, Самара, Самарская область",12.0,1/5,850000,1,5.0,1971.0,53.237963,50.23539
"Самара, улица Тухачевского, 40А, Железнодорожный, Самара, Самарская область",50.0,20/25,2100000,1,12.0,1985.0,53.189706,50.148199
"Самарская область, Самара, поселок Сухая Самарка, Белорусская улица, д.103, Куйбышевский, Самара, Самарская область",44.0,3/4,1950000,2,4,1965,53.144857,50.040455
"липяговская 8, Куйбышевский, Самара, Самарская область",31.0,8/9,1200000,1,9,1991,53.103681,50.031257
"ул Дальневосточная, 6, Кировский, Самара, Самарская область",63.0,4/9,3000000,3,9,1979,53.233128,50.282425
"Самара, Вольская улица, 85, Промышленный, Самара, Самарская область",64.0,5/18,4200000,2,18.0,2007.0,53.219646,50.246439
"Самарская область,Самара,Октябрьский район,Гастелло улица,47, Октябрьский, Самара, Самарская область",36.3,8/9,1880000,2,9.0,1989.0,53.223301,50.196609
"Россия, Самарская область, Самара, Засамарская слобода б-р, 3, Куйбышевский, Самара, Самарская область",87.2,9/16,3500000,3,4.0,1960.0,53.148125,50.077475
"Самара, улица Стара Загора, 110, Промышленный, Самара, Самарская область",53.0,3/9,2900000,2,9,1979,53.238916,50.226478
"Самарская область,Самара,Кировский район,Ставропольская улица,173, Кировский, Самара, Самарская область",63.1,1/10,3190000,3,9.0,1988.0,53.233538,50.260758
"Самара, Садовая улица, 168, Ленинский, Самара, Самарская область",87.3,15/21,5240000,3,11.0,2014.0,53.239881,50.060515
"Россия, Самарская область, Самара, Дыбенко ул, 122, Советский, Самара, Самарская область",62.0,2/10,4000000,3,10,1993,53.207038,50.223882
"Россия, Самарская область, Самара, Ново-Садовая ул, 139, Октябрьский, Самара, Самарская область",112.5,7/17,9500000,3,17.0,2006.0,53.214119,50.145873
"микрорайон Крутые Ключи, Красноглинский район, Самара, улица Евгения Золотухина, 20, Красноглинский, Самара, Самарская область",54.3,2/3,2700000,2,3,2012,53.317327,50.309303
"ул Демократическая 158, Кировский, Самара, Самарская область",37.0,2/3,2100000,1,3.0,2015.0,53.287542,50.219885
"Самара, Солнечная улица, 18, Октябрьский, Самара, Самарская область",42.0,8/22,2760000,1,27,2016,53.241994,50.185731
"Самара, Ново-Садовая улица, 258, Промышленный, Самара, Самарская область",46.0,5/10,3100000,1,12.0,1992.0,53.258125,50.21127
"Самара, улица Свободы, 155, Кировский, Самара, Самарская область",53.0,1/9,3300000,2,9,1988,53.227021,50.272975
"посёлок Управленческий, Красноглинский район, Самара, улица Парижской Коммуны, 1А, Красноглинский, Самара, Самарская область",72.0,4/5,5300000,3,5.0,1983.0,53.343946,50.213677
"Самара, Ташкентская улица, 210, Промышленный, Самара, Самарская область",68.0,7/9,3499000,3,9.0,1980.0,53.26315,50.234258
"микрорайон Крутые Ключи, Красноглинский район, Самара, бульвар Ивана Финютина, 72, Красноглинский, Самара, Самарская область",29.1,3/3,1300000,1,3.0,2014.0,53.327353,50.316346
"посёлок Управленческий, Красноглинский район, Самара, Крайняя улица, 18, Красноглинский, Самара, Самарская область",33.0,5/5,1550000,1,5,1973,53.340828,50.224008
"Самара, улица 22 Партсъезда, 194, Промышленный, Самара, Самарская область",38.0,5/9,2630000,1,9,1993,53.238442,50.189064
"Самара, улица Тухачевского, 40А, Железнодорожный, Самара, Самарская область",51.0,10/25,2150000,1,12.0,1985.0,53.189706,50.148199
"Красноярский р-н, пгт Волжкий, ул.Жилгородок, 29, Самара, Самарская область",72.0,4/6,3600000,2,6.0,2007.0,53.43821,50.125328
"Самара, Комсомольская улица, 45, Самарский, Самара, Самарская область",45.0,2/2,1900000,2,2,1894,53.180522,50.085811
"Самара, Коммунистическая улица, 23, Ленинский, Самара, Самарская область",85.0,1/9,5300000,4,9.0,1978.0,53.198662,50.137195
"Самара, Революционная улица, 149, Железнодорожный, Самара, Самарская область",31.0,4/9,2087000,1,9.0,1974.0,53.19392,50.176945
"Самара, Енисейская улица, 49, Кировский, Самара, Самарская область",23.0,3/9,1570000,1,9,1983,53.235025,50.273209
"ул Антонова-Овсеенко, 16А, Советский, Самара, Самарская область",49.0,6/6,3300000,2,6.0,1982.0,53.212895,50.199798
"Самара, улица Гастелло, 46, Октябрьский, Самара, Самарская область",110.0,17/18,8299000,3,17.0,2013.0,53.222724,50.195235
"Россия, Самарская область, Самара, Солнечная ул, 11, Промышленный, Самара, Самарская область",53.9,7/9,3300000,2,9,1987,53.241821,50.189908
"Самара, улица Стара Загора, 110, Промышленный, Самара, Самарская область",34.0,4/9,2050000,1,9.0,1979.0,53.238916,50.226478
"Самара, Казачья улица, 30, Куйбышевский, Самара, Самарская область",85.7,8/10,3900000,3,10,2010,53.156679,50.077592
"Самара, 5-я просека, 109, Октябрьский, Самара, Самарская область",46.0,7/18,3200000,1,18.0,2015.0,53.242031,50.184015
"Самара, улица Осипенко, 2А, Октябрьский, Самара, Самарская область",34.0,9/16,3500000,1,16.0,1976.0,53.213903,50.13114
"Улиц. Гагарина 63 а, Железнодорожный, Самара, Самарская область",31.0,2/9,1900000,1,5,1960,53.19898,50.184967
"Самара, Ташкентская улица, 149, подъезд 3, Кировский, Самара, Самарская область",72.0,7/9,4000000,3,9.0,1979.0,53.252727,50.24811
"Самара, Физкультурная улица, 136, Кировский, Самара, Самарская область",42.8,4/4,2000000,2,4.0,1956.0,53.29644,50.363364
"посёлок Красная Глинка, Красноглинский район, Самара, 4-й квартал, 8, Красноглинский, Самара, Самарская область",39.3,1/5,1750000,2,4,1960,53.390836,50.168582
"Самара, Вольская улица, 103, Промышленный, Самара, Самарская область",62.9,1/2,1500000,2,2.0,1939.0,53.222131,50.250212
"Безымянный 2-й пер, 3а, Советский, Самара, Самарская область",44.0,4/5,2250000,2,5,1959,53.207513,50.230683
"ул.Советской Армии, 203, Октябрьский, Самара, Самарская область",66.0,16/16,4450000,2,17.0,2012.0,53.229765,50.193771
"Самара, улица Ерошевского, 18, Октябрьский, Самара, Самарская область",140.0,13/22,8500000,3,22.0,2008.0,53.215887,50.160982
"Самара, улица Гагарина, 47, Железнодорожный, Самара, Самарская область",44.8,5/5,2570000,2,5.0,1965.0,53.199519,50.176083
"Самара, улица Советской Армии, 200, Октябрьский, Самара, Самарская область",67.3,3/4,3800000,2,5,1956,53.228573,50.193241
"Самарская область,Самара,Кировский район,Металлургов проспект,67, Кировский, Самара, Самарская область",59.0,2/5,2950000,3,5,1967,53.231074,50.272436
"посёлок Сухая Самарка, Самара, Белорусская улица, 20, подъезд 3, Куйбышевский, Самара, Самарская область",55.8,2/10,3000000,2,12.0,2008.0,53.146526,50.062518
"Самара, Кромская улица, 4, Кировский, Самара, Самарская область",48.0,7/10,3200000,1,10.0,2007.0,53.233403,50.25367
"Самара, улица Авроры, 105, Советский, Самара, Самарская область",58.0,2/5,2990000,3,5.0,1963.0,53.190348,50.192154
"Самара, Белорусская , д. 81, кВ. 14, Куйбышевский, Самара, Самарская область",53.8,4/9,2600000,2,10.0,1995.0,53.141249,50.047696
"ул.Юбилейная, д.15а, Кировский, Самара, Самарская область",43.0,1/5,2300000,2,5,1966,53.221808,50.270289
"Владимирская, 30, Ленинский, Самара, Самарская область",22.0,8/9,1830000,1,9.0,1978.0,53.197615,50.135659
"Самара, Ставропольская улица, 86, Промышленный, Самара, Самарская область",57.5,5/5,2700000,3,5.0,1967.0,53.220368,50.22805
"ул Шверника, д.9, Промышленный, Самара, Самарская область",81.0,1/16,5300000,3,17,2013,53.24451,50.195864
"Самара, улица Дзержинского, 40, Железнодорожный, Самара, Самарская область",43.0,5/5,2200000,2,5,1962,53.187645,50.174726
"Самара, Молодёжная улица, 18, Промышленный, Самара, Самарская область",43.0,9/25,3150000,1,27.0,2016.0,53.259875,50.222795
"Самара, проспект Кирова, 322Ак4, Промышленный, Самара, Самарская область",60.0,19/20,5450000,2,30.0,2016.0,53.254101,50.215375
"Самара, проспект Карла Маркса, 388, подъезд 3, Кировский, Самара, Самарская область",49.0,4/5,2900000,2,5.0,1968.0,53.243971,50.240456
"Самарская область,Самара,Советский район,Победы улица,92б, Советский, Самара, Самарская область",70.3,5/6,3450000,2,5,1956,53.21276,50.246304
"Самара, улица Водников, 35, Самарский, Самара, Самарская область",110.0,7/8,8199000,3,7.0,2002.0,53.18199,50.078274
"Самара, Барбошина поляна, 9-я просека 2-я линия, 21к7, Промышленный, Самара, Самарская область",35.3,3/3,2319000,1,3.0,2016.0,53.267066,50.197256
"Самара, Осетинская улица, 2, Куйбышевский, Самара, Самарская область",51.3,13/16,2750000,2,17,2014,53.155626,50.076064
"Самара, улица Георгия Димитрова, 112, подъезд 9, Промышленный, Самара, Самарская область",75.0,4/12,3659000,3,12.0,1984.0,53.261028,50.221574
"микрорайон Крутые Ключи, Красноглинский район, Самара, улица Виталия Жалнина, 21, Красноглинский, Самара, Самарская область",46.0,3/3,2350000,2,3,2013,53.313605,50.312582
"Россия, Самарская область, Самара, Красноармейская ул, 153, Железнодорожный, Самара, Самарская область",66.0,5/12,6300000,2,12.0,2007.0,53.188417,50.131616
"ул Вольская, 17, Советский, Самара, Самарская область",32.0,3/5,1800000,1,5.0,1962.0,53.214394,50.233413
"Самара, Демократическая улица, 30, Промышленный, Самара, Самарская область",121.5,14/15,5950000,4,16.0,2007.0,53.267066,50.218744
"посёлок Сухая Самарка, Самара, Белорусская улица, 28, Куйбышевский, Самара, Самарская область",88.0,11/12,4600000,3,12.0,2002.0,53.148114,50.061449
"ул Путейская 12, Кировский, Самара, Самарская область",44.8,5/5,2095000,2,5,1974,53.236222,50.285354
"Самара, посёлок Соцгород, Пугачевский тракт, 8, Куйбышевский, Самара, Самарская область",53.0,2/5,2500000,3,5.0,1981.0,53.10873,50.079721
"посёлок Соцгород, Самара, Ново-Молодежный переулок, 3, Куйбышевский, Самара, Самарская область",19.2,1/5,660000,1,5.0,1966.0,53.122388,50.084859
"Самара, улица 22 Партсъезда, 46, Советский, Самара, Самарская область",77.1,8/9,4500000,4,9,1992,53.214027,50.224763
"Самара, улица Советской Армии, 210, Октябрьский, Самара, Самарская область",46.0,3/5,2699000,2,5,1964,53.230444,50.190842
"Самара, Вятская улица, 15, Промышленный, Самара, Самарская область",36.0,2/2,1650000,2,2.0,1944.0,53.20083,50.247265
"Самара, проспект Карла Маркса, 4А, Железнодорожный, Самара, Самарская область",72.8,6/19,5500000,2,25.0,2015.0,53.191335,50.1345
"Куйбышевский район, Самара, улица Нефтяников, 12, Куйбышевский, Самара, Самарская область",100.0,4/4,3200000,3,4.0,1957.0,53.113406,50.078948
"Самара, проспект Кирова, 349, Кировский, Самара, Самарская область",52.5,4/5,2900000,2,5.0,1983.0,53.24763,50.230422
"Самара, улица Георгия Димитрова, 74Ак2, Кировский, Самара, Самарская область",42.0,16/16,1930000,1,5.0,1970.0,53.251488,50.230638
"ул.Каховская, д.14 ""Сталинка"", Промышленный, Самара, Самарская область",56.0,4/4,3199000,2,4,1955,53.217678,50.267945
"Самара, улица 22 Партсъезда, 39, Промышленный, Самара, Самарская область",40.0,6/9,1400000,2,9.0,1974.0,53.214539,50.226227
"Россия, Самарская область, Самара, 5-я просека, 103, Октябрьский, Самара, Самарская область",73.0,2/9,3900000,2,9,2005,53.244462,50.186809
"Самарская область, пос. Новоберезовский, ул. Центральная 2, Самара, Самарская область",42.0,1/2,650000,2,2,1963,53.045816,50.186009
"Самара, Первомайская улица, 36, Октябрьский, Самара, Самарская область",31.6,5/5,2250000,1,5.0,1970.0,53.203149,50.132272
"Самара, Осетинская улица, 2, Куйбышевский, Самара, Самарская область",78.0,6/16,4990000,2,17.0,2014.0,53.155626,50.076064
"Самарская область,Самара,Самарский район,Максима Горького улица,131, Ленинский, Самара, Самарская область",74.0,5/9,7700000,2,15,2003,53.194173,50.088695
"Самара, проспект Карла Маркса, 491, Кировский, Самара, Самарская область",60.0,5/9,2640000,3,9,1976,53.248519,50.265816
"Самара, улица Гагарина, 45, Железнодорожный, Самара, Самарская область",45.0,2/5,2250000,2,5.0,1.0,53.199487,50.175373
"Самарская область,Самара,Промышленный район,Победы улица,170, Кировский, Самара, Самарская область",76.0,2/5,3200000,3,5,1958,53.227517,50.279973
"Самарская область,Самара,Ленинский район,Чкалова улица,72, Ленинский, Самара, Самарская область",142.0,7/8,9500000,3,11.0,2015.0,53.201364,50.123424
"Самара, улица Советской Армии, 253Б, Октябрьский, Самара, Самарская область",68.9,17/17,7000000,0,17,2011,53.239811,50.180062
"Самара, проспект Карла Маркса, 434, Кировский, Самара, Самарская область",45.0,5/5,2250000,2,5.0,1969.0,53.243422,50.247921
"Самара, Больничная улица, 31, Октябрьский, Самара, Самарская область",22.0,2/9,1750000,1,9.0,1982.0,53.247118,50.076684
"Самара, Московское шоссе, 49, Октябрьский, Самара, Самарская область",57.0,5/24,3500000,1,25.0,2013.0,53.22343,50.192046
"Белорусская ул, 133, Куйбышевский, Самара, Самарская область",56.0,6/10,2990000,2,10,2007,53.14193,50.041201
"ул Ново-Садовая, 303а, Октябрьский, Самара, Самарская область",60.0,5/16,5000000,2,,1,53.234691,50.191525
"пр. Кирова 230, Промышленный, Самара, Самарская область",63.0,3/9,3650000,3,9,1971,53.245502,50.228356
"Самара, улица Степана Разина, 154, Самарский, Самара, Самарская область",154.0,9/10,13500000,4,9,2003,53.192183,50.089153
"Самара, Московское шоссе, 81, Промышленный, Самара, Самарская область",70.0,12/16,4000000,3,12.0,1982.0,53.234723,50.202008
"Самара, Ново-Садовая улица, 349, Промышленный, Самара, Самарская область",55.0,1/12,2790000,2,12.0,1988.0,53.253131,50.209689
"Самара, Подшипниковая улица, 4, Октябрьский, Самара, Самарская область",65.0,1/4,2000000,3,4.0,1954.0,53.207043,50.159904
"Россия, Самарская область, Самара, Партизанская ул, 116а, Железнодорожный, Самара, Самарская область",41.0,2/9,2550000,2,9.0,1974.0,53.187327,50.17938
"Самара, Аэродромная улица, 35, Железнодорожный, Самара, Самарская область",45.1,2/5,2750000,2,5.0,1963.0,53.190742,50.18212
"село Черноречье, Волжский район, Самарская область, улица Мира, 46, Самара, Самарская область",43.3,2/2,1200000,2,2,1972,53.164626,50.382462
"Самара, улица Победы, 10А, Советский, Самара, Самарская область",18.1,1/4,920000,1,5,1952,53.204897,50.229272
"Самара, Пролетарская улица, 169, подъезд 1, Железнодорожный, Самара, Самарская область",53.3,5/5,2900000,3,5,1962,53.20131,50.154478
"Самара, Владимирская улица, 48, Железнодорожный, Самара, Самарская область",36.5,2/9,2600000,1,9,1984,53.190974,50.143564
"Самара, Владимирская улица, 30, подъезд 1, Ленинский, Самара, Самарская область",30.0,4/9,1950000,1,9.0,1978.0,53.197761,50.135632
"Россия, Самарская область, Самара, Кирова пр-кт, 201, Кировский, Самара, Самарская область",93.0,3/10,5389000,4,10.0,1994.0,53.231031,50.248586
"поселок Прибрежный, Самара, улица Труда, 8, Красноглинский, Самара, Самарская область",41.8,2/4,1350000,2,3,1961,53.484605,49.851836
"Самара, Печерская улица, 6, Октябрьский, Самара, Самарская область",43.6,1/2,1800000,2,2,1957,53.203705,50.175247
"Самара, улица Дыбенко, 120А, Советский, Самара, Самарская область",39.0,9/9,2850000,1,10.0,2000.0,53.207372,50.221385
"Самара, улица Мяги, 13, Железнодорожный, Самара, Самарская область",43.0,2/5,2550000,2,5.0,1968.0,53.195031,50.17204
"Самара, проспект Ленина, 15, Октябрьский, Самара, Самарская область",32.2,10/15,2500000,1,16,1986,53.211471,50.145917
"Самара, Олимпийская улица, 51, Кировский, Самара, Самарская область",31.5,4/5,1445000,1,4,1965,53.235284,50.288265
"Самара, Дачная улица, 26, Ленинский, Самара, Самарская область",79.1,4/10,7950000,3,10.0,2007.0,53.198246,50.146331
"Самара, улица Фрунзе, 101А, Самарский, Самара, Самарская область",122.7,5/6,9000000,4,5,1991,53.187785,50.092737
"Самара, 5-я просека, 99, Октябрьский, Самара, Самарская область",70.0,9/21,5700000,2,23.0,2008.0,53.242888,50.184761
"Россия, Самарская область, Самара, Санфировой ул, 99, Октябрьский, Самара, Самарская область",71.0,8/16,4150000,2,17,2015,53.221565,50.19272
"Самара, Ново-Садовая улица, 258, Промышленный, Самара, Самарская область",56.0,5/10,3850000,2,12.0,1992.0,53.258125,50.21127
"Самара, улица Мечникова, 5, Железнодорожный, Самара, Самарская область",98.0,4/19,4700000,3,19,2016,53.186339,50.134868
"Самара, улица Победы, 105, Промышленный, Самара, Самарская область",75.0,2/4,2550000,3,5.0,1952.0,53.216977,50.258512
"Самара, Красноглинский район, посёлок Управленческий, улица Парижской Коммуны, 34, Красноглинский, Самара, Самарская область",70.0,8/9,3500000,3,9,1988,53.352165,50.210848
"Самара, Пензенская улица, 66, Железнодорожный, Самара, Самарская область",31.3,10/12,2550000,1,12.0,1984.0,53.193806,50.144911
"Самара, проспект Карла Маркса, 354, Промышленный, Самара, Самарская область",31.9,5/5,1680000,1,5,1968,53.237122,50.235956
"Металлистов 55, Кировский, Самара, Самарская область",79.0,10/10,5200000,2,2.0,1951.0,53.229522,50.263741
"жилой район Южный Город - 1, Волжский район, Самарская область, Николаевский проспект, 15, подъезд 4, Самара, Самарская область",34.5,2/5,2100000,1,5.0,2014.0,53.116087,50.155871
"Самара, проспект Масленникова, 7, Октябрьский, Самара, Самарская область",31.0,2/3,1050000,1,5.0,1935.0,53.213224,50.151694
"Самарская область,Самара,Промышленный район,Кирова проспект,270, Промышленный, Самара, Самарская область",53.0,4/9,2950000,3,9,1971,53.247964,50.225239
"Самарская область,Самара,Промышленный район,7 микрорайон,Ново-Вокзальная улица,225, Промышленный, Самара, Самарская область",47.2,4/5,2370000,2,5,1967,53.243702,50.214198
"микрорайон Крутые Ключи, Красноглинский район, Самара, бульвар Ивана Финютина, 19, Красноглинский, Самара, Самарская область",33.0,1/3,1450000,1,3,2011,53.318844,50.308261
"Самара, улица Челюскинцев, 17, Октябрьский, Самара, Самарская область",44.6,5/9,3450000,2,9.0,1973.0,53.207901,50.142657
"Самара, улица Стара Загора, 209, подъезд 8, Кировский, Самара, Самарская область",35.0,6/9,2280000,1,9,1976,53.24492,50.241911
"Самара, улица Авроры, 11А, Советский, Самара, Самарская область",30.0,2/3,1450000,1,2,1958,53.180279,50.192208
"Октябрьский район, Самара, 3-й проезд, 50, Октябрьский, Самара, Самарская область",43.2,16/19,2860000,1,,,53.204255,50.180539
"Самара, улица Фрунзе, 27Б, подъезд 1, Самарский, Самара, Самарская область",53.7,4/4,4200000,2,4,1998,53.181099,50.087635
"Самара, Гвардейская улица, 19, Кировский, Самара, Самарская область",28.5,2/9,1600000,1,9.0,1974.0,53.237639,50.282138
"Самара, улица Советской Армии, 17, Советский, Самара, Самарская область",80.0,9/9,4300000,4,9,1984,53.196013,50.216768
"Самара, посёлок Мехзавод, 6-й квартал, 9, Красноглинский, Самара, Самарская область",36.0,4/5,1750000,1,5,1985,53.297306,50.28088
"ул. Лейтенанта Шмидта/Профсоюзная/Саперная, Секция Б1-3, Октябрьский, Самара, Самарская область",62.8,2/17,3400000,2,14.0,2003.0,53.225215,50.150463
"Самара, Севастопольская улица, 39, подъезд 1, Кировский, Самара, Самарская область",21.8,5/5,1680000,1,5,1969,53.225468,50.262106
"микрорайон Крутые Ключи, Красноглинский район, Самара, улица Виталия Жалнина, 9, Красноглинский, Самара, Самарская область",33.4,3/3,1450000,1,3,2014,53.312475,50.310408
"жилой район Южный Город - 1, Волжский район, Самарская область, Земская улица, 19, Самара, Самарская область",32.0,6/9,1760000,1,9.0,2015.0,53.113341,50.142486
"Некрасовская ул, 94ж, Самарский, Самара, Самарская область",113.0,5/5,10500000,3,1,1917,53.186873,50.105475
"Самара, улица Промышленности, 296, Советский, Самара, Самарская область",30.0,4/5,2500000,0,5.0,1968.0,53.200479,50.225239
"Самара, улица Железной Дивизии, 7, Промышленный, Самара, Самарская область",30.0,1/9,1500000,1,9,1976,53.210091,50.279111
"Самара, улица Алексея Толстого, 78, Самарский, Самара, Самарская область",78.0,5/5,5900000,2,12,2008,53.185881,50.082523
"Самара, Красноармейская улица, 74, Железнодорожный, Самара, Самарская область",101.0,8/11,7500000,3,11.0,2001.0,53.189533,50.118429
"Самарская область,Самара,Промышленный район,Карла Маркса проспект,272, Промышленный, Самара, Самарская область",70.0,8/9,4940000,3,9,1998,53.227921,50.213776
"Самарская область, Самара, проспект Масленникова, д.29, Октябрьский, Самара, Самарская область",19.0,2/4,899000,1,4,1958,53.208494,50.15862
"ул Энтузиастов, 87, Советский, Самара, Самарская область",31.5,2/5,2100000,1,5.0,1968.0,53.213504,50.198505
"Самара, переулок Штамповщиков, 3, Промышленный, Самара, Самарская область",71.0,4/4,3180000,3,4.0,1967.0,53.215575,50.251622
"ул Революционная, 4, Октябрьский, Самара, Самарская область",174.5,21/22,10500000,3,1,1913,53.217257,50.163866
"Самара, Теннисная улица, 27, Промышленный, Самара, Самарская область",17.0,5/5,850000,1,5,1974,53.215985,50.273748
"Самарская область,Самара,Кировский район,15 микрорайон,Черемшанская улица,238, Кировский, Самара, Самарская область",32.0,5/5,1829000,1,5,1973,53.244984,50.2626
"Самара, Ташкентская улица, 102, Кировский, Самара, Самарская область",42.0,5/5,2420000,2,5,1969,53.245965,50.247831
"Самарская область,Самара,Куйбышевский район,Нефтяников улица,10А, Куйбышевский, Самара, Самарская область",66.1,4/4,2200000,2,4,1956,53.113595,50.077807
"Самара, Красноглинский район, микрорайон Крутые Ключи, улица Виталия Жалнина, 6, Красноглинский, Самара, Самарская область",50.3,3/3,2600000,2,3,2014,53.313438,50.308566
"поселок Мехзавод, Самара, 1-й квартал, 52, Красноглинский, Самара, Самарская область",39.0,3/10,1950000,1,,,53.30661,50.2861
"Самарская область,Самара,Ленинский район,Чернореченская улица,57, Ленинский, Самара, Самарская область",122.0,10/11,7500000,3,9,1990,53.197388,50.143097
"жилой район Южный Город - 2, Волжский район, Самарская область, Губернаторская улица, 29, подъезд 2, Самара, Самарская область",77.0,7/9,3850000,3,11,2017,53.092927,50.163839
"Самара, Дачная улица, 19, Ленинский, Самара, Самарская область",49.9,2/12,3550000,2,12.0,1978.0,53.199552,50.14218
"Самара, улица Мичурина, 48, Октябрьский, Самара, Самарская область",56.0,6/9,3750000,3,9,1972,53.201364,50.133997
"Самарская область,Самара,Промышленный,Кирова проспект,419, Промышленный, Самара, Самарская область",66.0,4/9,3700000,3,9,1983,53.259407,50.217953
"Демократическая улица, 35, Промышленный, Самара, Самарская область",47.5,6/10,2800000,1,10,2005,53.26663,50.222158
"Самара, Запорожская улица, 43, Советский, Самара, Самарская область",18.0,3/5,1020000,1,5,1973,53.210242,50.220945
