adress,area,floor,price,rooms,floors_total,year,latitude,longitude
"Россия, Самарская область, Самара, Ново-Вокзальная ул, 164, Промышленный, Самара, Самарская область",115.0,5/10,6550000,3,11.0,2013.0,53.245415,50.204353
"Самара, посёлок Соцгород, Пугачевский тракт, 55, Куйбышевский, Самара, Самарская область",39.0,8/9,1380000,1,9,1974,53.12556,50.095028
"Самара, поселок Прибрежный, Парусная улица, 18, Красноглинский, Самара, Самарская область",60.4,3/5,1800000,3,5.0,1975.0,53.487782,49.852447
"Самара, улица Мориса Тореза, 79, Советский, Самара, Самарская область",72.0,2/10,5100000,2,10.0,2007.0,53.196908,50.195271
"ул. Краснодонская, д. 10, Промышленный, Самара, Самарская область",44.1,18/27,2513700,1,,,53.215769,50.261701
"Самара, Рабочая улица, 85, Железнодорожный, Самара, Самарская область",109.0,5/11,14900000,3,10.0,2007.0,53.191303,50.11692
"Самара, Товарная улица, 17В, подъезд 4, Кировский, Самара, Самарская область",53.8,3/10,2350000,2,10.0,1997.0,53.232751,50.296224
"Стара-Загора 293, Кировский, Самара, Самарская область",64.0,9/9,3700000,3,9.0,1989.0,53.250981,50.25836
"Самарская область,Самара,Советский район,Гагарина улица,82, Советский, Самара, Самарская область",44.0,2/5,2400000,2,5.0,1962.0,53.201111,50.193807
"Самара, Черемшанская улица, 226, Кировский, Самара, Самарская область",60.0,9/9,2690000,3,9,1973,53.24395,50.259788
"Самара, Партизанская улица, 74, Железнодорожный, Самара, Самарская область",44.0,3/5,2500000,2,5.0,1967.0,53.195236,50.165914
"Самара, Демократическая улица, 170, Кировский, Самара, Самарская область",47.0,2/3,3000000,1,3.0,2014.0,53.250459,50.388292
"Самара, Чернореченская улица, 32, Ленинский, Самара, Самарская область",41.3,7/12,1790000,1,9,1978,53.198041,50.141282
"Самара, Ташкентская улица, 196, Кировский, Самара, Самарская область",108.8,10/16,5500000,3,16.0,2000.0,53.259331,50.239944
"Самара, Московское шоссе, 260, Промышленный, Самара, Самарская область",54.0,9/9,4100000,2,9.0,1986.0,53.247107,50.214612
"Гагарина, 135, Советский, Самара, Самарская область",43.7,2/5,2600000,2,5.0,1960.0,53.200927,50.210192
"Самара, 7-я просека, 100, подъезд 1, Промышленный, Самара, Самарская область",34.5,5/18,3100000,1,21,2014,53.25549,50.198631
"Самарская область, Самара, улица Грибоедова, д.8, Кировский, Самара, Самарская область",64.0,2/2,1690000,3,2.0,1960.0,53.250604,50.355081
"посёлок Сухая Самарка, Самара, Белорусская улица, 40, Куйбышевский, Самара, Самарская область",35.8,9/10,1850000,1,10.0,1997.0,53.146251,50.059796
"ул. Виталия Талабаева, д. 4, Куйбышевский, Самара, Самарская область",39.7,1/16,1667400,1,,,53.146947,50.078113
"ул. Мира, д. 85, Красноглинский, Самара, Самарская область",36.4,2/3,1405000,1,3,2016,53.308547,50.316238
"Самара, Партизанская улица, 175, Советский, Самара, Самарская область",55.6,5/5,2700000,3,5.0,1965.0,53.18676,50.199511
"посёлок Соцгород, Самара, Бакинская улица, 28А, Куйбышевский, Самара, Самарская область",61.0,5/5,2350000,3,5.0,1982.0,53.120318,50.080233
"Самара, улица Пушкина, 229, Ленинский, Самара, Самарская область",59.0,6/16,5500000,1,16.0,2012.0,53.244295,50.058709
"Самара, Ново-Вокзальная улица, 275, Промышленный, Самара, Самарская область",70.8,3/10,3790000,3,10,1989,53.25048,50.202475
"Самара, улица Мичурина, 15А, Ленинский, Самара, Самарская область",45.0,9/16,4000000,1,16.0,1999.0,53.201493,50.138354
"Самара, улица Георгия Димитрова, 18, Кировский, Самара, Самарская область",22.0,5/9,1550000,1,9.0,1975.0,53.250539,50.238318
"Самара, проспект Кирова, 237, Кировский, Самара, Самарская область",43.0,4/5,2550000,2,5.0,1967.0,53.235629,50.242828
"Самара, Московское шоссе, 123, Промышленный, Самара, Самарская область",21.5,7/9,1750000,1,9,1977,53.237655,50.208665
"Самара, посёлок Сухая Самарка, Белорусская улица, 24, Куйбышевский, Самара, Самарская область",42.0,9/10,2500000,1,10.0,2010.0,53.147493,50.061539
"Самара, Московское шоссе, 306, Промышленный, Самара, Самарская область",34.0,8/12,2247000,1,12.0,1980.0,53.259164,50.234096
