area,floor,floors_total,latitude,longitude,price,rooms,year
145.0,10,10,59.96326,30.32972,27000000,4,0
82.3,21,27,60.078773,30.344695,8150000,3,0
42.0,2,5,59.911543,30.346177,6950000,1,0
68.0,8,25,60.03354,30.242036,8800000,2,0
34.6,1,5,60.047124,30.395297,3450000,1,0
31.0,4,9,59.842996,30.340751,3500000,1,0
76.0,4,4,59.927234,30.324222,11300000,3,0
55.2,10,16,59.952191000000006,30.485901,5500000,2,0
112.9,6,7,59.92664300000001,30.379756,27390000,3,0
26.0,20,27,60.075986,30.343797,3100000,0,0
63.0,8,25,59.864101,30.454056,7950000,2,0
30.0,12,13,60.008698,30.202132,5250000,0,0
117.0,7,16,59.95962,30.269632,19289000,3,0
101.2,7,10,59.939487,30.290024,19200000,3,0
95.0,9,15,59.953664,30.477412,6500000,5,0
80.0,3,25,59.864851,30.511108,8400000,2,0
35.0,3,25,60.080932,30.333035,4050000,1,0
65.8,5,9,59.913496,30.453751,5500000,3,0
168.0,11,16,59.841844,30.349366,15700000,4,0
30.0,9,9,59.838051,30.386853,3500000,1,0
90.2,11,13,59.98306700000001,30.268590000000003,13480000,3,0
90.0,16,16,60.003669,30.288802,13499000,3,0
83.0,2,24,59.86296700000001,30.411925,9750000,3,0
55.0,1,12,59.928411,30.463111,5575000,2,0
39.8,3,12,60.000393,30.208034,5700000,1,0
50.0,9,18,60.017423,30.246374,6500000,1,0
78.2,3,5,59.939086,30.343213,22500000,2,0
77.0,4,5,59.93246800000001,30.369668,14800000,3,0
58.2,17,17,60.014185,30.311386,12240000,2,0
60.0,1,6,59.921547,30.310667,7250000,2,0
50.0,2,9,59.910623,30.459967,4950000,2,0
137.8,6,8,59.973221,30.259571,51500000,3,0
63.8,2,23,59.863513,30.505943,5749999,2,0
78.3,24,25,60.069616,30.329756,8150000,3,0
51.0,15,16,59.839665,30.508099,5900000,2,0
40.0,9,25,60.07316700000001,30.332011,4800000,1,0
115.2,22,23,59.84131,30.225336,14980000,3,0
45.8,2,5,59.978512,30.424304,4500000,2,0
51.0,22,23,59.844985,30.398756,7500000,1,0
30.3,2,5,59.88314200000001,30.482497,3300000,1,0
180.0,6,6,59.948429,30.304199,60000000,4,0
42.1,10,15,59.879353,30.315266,8850000,1,0
43.4,17,17,59.863093000000006,30.169721000000006,3950000,1,0
29.5,1,5,59.963593,30.411997,3390000,1,0
23.4,8,12,60.055111,30.440159,2400000,0,0
56.0,4,5,59.868035,30.386107,4550000,3,0
29.4,19,23,59.864887,30.512366,3050000,0,0
31.0,20,22,60.048966,30.436188,3400000,1,0
80.0,5,7,59.944292,30.39651,13900000,2,0
44.8,7,7,60.02856800000001,30.233744,4900000,1,0
171.0,5,6,59.92984000000001,30.376163,20500000,5,0
33.0,17,19,60.02700400000001,30.453068,3650000,1,0
79.0,8,14,59.923396,30.450409000000004,9500000,3,0
30.7,5,15,60.048373,30.433386,3300000,0,0
64.0,5,21,60.05499,30.311484000000004,9965000,2,0
64.0,3,9,59.826302,30.332478,8950000,2,0
93.1,5,9,59.87574100000001,30.460497,11200000,3,0
54.2,12,16,59.968263,30.428346,5325000,1,0
37.7,4,15,59.91136700000001,30.476846,5200000,1,0
53.6,8,14,59.852814,30.360919,6550000,1,0
24.5,2,24,60.049792,30.426487,2690000,0,0
40.0,6,12,59.953056,30.493708,4200000,1,0
50.1,9,10,59.94969,30.262796,9300000,1,0
46.0,4,5,59.866739,30.461395,3900000,2,0
39.0,11,12,59.936733,30.489234000000003,5499000,1,0
203.0,24,25,60.025992,30.320324,33990000,5,0
52.0,4,12,59.94674300000001,30.220961,6600000,2,0
145.0,22,23,59.957354,30.343914,27500000,3,0
39.0,3,12,59.838164,30.420171000000003,4650000,1,0
55.0,1,5,59.724437,30.416533,6000000,3,0
124.3,3,10,59.955002,30.28316,24900000,2,0
46.0,3,5,59.927869,30.259831,5970000,2,0
80.1,3,5,59.98859,30.30348,10990000,3,0
74.4,4,5,59.918783,30.418033,7000000,3,0
40.0,4,12,60.03927,30.403831,4300000,1,0
26.0,11,16,60.049981,30.436548,3300000,0,0
41.8,2,5,59.84253100000001,30.240212,4450000,3,0
68.0,5,14,59.963539,30.273171,14400000,2,0
53.0,1,9,59.86242900000001,30.387868,8500000,3,0
43.4,17,17,59.863093000000006,30.169721000000006,3950000,1,0
91.0,7,10,59.957935,30.273081,30000000,2,0
168.0,2,5,59.848253,30.156417,20500000,4,0
37.2,17,20,59.866689,30.175012,3890000,1,0
163.4,11,77,59.972775,30.291326,80000000,4,0
